file_name,image_size,tick_size,tag_text,tag_id_guess,inference_info
D:/moth_photos/database\batch_01\img_moth_00000001.jpg,"[4000, 6000]",37.431372549019606,"['Photographedby\nAFletcher\n2024\n', '2023\nDCR06194\n', 'SanteeCoastalReserve\nCharlestanCoSC\nG EFLoPresti\n061235 OrmondHall\n', '']","['2024\n', '2023\nDCR06194\n', 'CR\nCC0C\n061235\n', '']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000002.jpg,"[4000, 6000]",37.54,"['2023\nDCR06205\n', 'Photographedby\nAFletcher\n2024\n', 'SanteeCoastalReserve\nCharlestonCoSC\nEFLoPresti\n49923LiveOakTrag\n']","['2023\nDCR06205\n', '2024\n', 'CR\nCCC\n49923\n']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000003.jpg,"[4000, 6000]",37.1764705882353,"['2023\nDCR06195\n', 'Photographedby\nAFletcher\n2024\n', 'SanteeCoastalReserve\nCharlestonCoSC\nEFLdPresti\nDEL2Z3OrmondHall\n', '']","['2023\nDCR06195\n', '2024\n', 'CR\nCCC\nDC13C\n', '']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000004.jpg,"[4000, 6000]",37.6,"['2023\nDCR06206\n', 'Photographedby\nAFletcher\n2024\n', 'SanteeCoastalReserve\nCharleston Co Sse\n\nane 74 Live OakTrap\n']","['2023\nDCR06206\n', '2024\n', 'CR\nC C\n\n74\n']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000005.jpg,"[4000, 6000]",37.52,"['2023\nDCR06196\n', 'Photographedby\nAFletcher\n2024\n', 'Santee Coastal Reserve\nCharleston CoSC\nEFLoPresti\n\nDe ZOrmondHall\n', '']","['2023\nDCR06196\n', '2024\n', 'C R\nC CC\n\nD 30\n', '']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000006.jpg,"[4000, 6000]",37.26,"['2023\nDCR06207\n', 'Photographedby\nAFletcher\n2024\n', 'SanteeCoastalReserve\nCharlestonCoSC\nqEFLoPrestt\nLagyog7LiveOakTrag\n']","['2023\nDCR06207\n', '2024\n', 'CR\nCCC\n7C\n']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000007.jpg,"[4000, 6000]",37.1764705882353,"['SanteeCoastalReserve\nCharlestonCoSC\nEFtoPresti\n\nq Of23OrmondHall\n', '2023\nDCR06197\n', 'Photographedby\nAFletcher\n2024\n', '']","['CR\nCC0C\n0R\n\nD23C\n', '2023\nDCR06197\n', '2024\n', '']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000008.jpg,"[4000, 6000]",37.580000000000005,"['2023\nDCR06208\n', 'Photographedby\nAFletcher\n2024\n', 'SanteeCoastalReserve\nCharlestonCoSC\nEFLePresti\nIv JV44OrmondHail\n']","['2023\nDCR06208\n', '2024\n', 'CR\nCC0C\n4 44\n']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000009.jpg,"[4000, 6000]",37.54,"['2023\n\nDCRO6198\n', 'SanteeCoastalReserve\nCharlestoreCoSC\n\nI EFLoPresti\nOg73OrmondHall\n', 'Photographedby\nAFletcher\n2024\n', '']","['2023\n\nDCR06198\n', 'CR\nCCC\n\n0730\n', '2024\n', '']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000010.jpg,"[4000, 6000]",37.64,"['2023\nDCR06209\n', 'Photographedby\nAFletcher\n2024\n', 'SanteeCoastalReserve\nCharlestonoSC\nEFLoPresti\n\nGnovL3OrmondHall\n']","['2023\nDCR06209\n', '2024\n', 'CR\nCC\n\n3\n']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000011.jpg,"[4000, 6000]",37.36,"['Santee CoastalReserve\nCharlestonCoSC\nq EFltoPresti\nTDELZSOrmondHall\n', '2023\nDCR06199\n\n', 'SSt\niN Fletchet\n2024\n']","['CR\nCC0C\nD3C\n', '2023\nDCR06199\n\n', '2024\n']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000012.jpg,"[4000, 6000]",36.9607843137255,"['Photographedby\nAFletcher\n2024\n', '2023\nDCR06210\n', 'SanteeCoastal Keserve\nCharlestonCO sc\n9 FLoPresti\nWOULOrmondHall\n']","['2024\n', '2023\nDCR06210\n', 'C\nCC\n9\n']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000013.jpg,"[4000, 6000]",37.294117647058826,"['2023\nDCR06200\n', 'SanteeCoastalReserve\nCharlestonCoSC\n\n1 EFLoPresti\nOF6230rmondHall\n', 'photoarapned bY\npFletchet\n']","['2023\nDCR06200\n', 'CR\nCC0C\n\n1\n6230\n', '']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000014.jpg,"[4000, 6000]",36.98039215686274,"['Photographedby\nAFletcher\n2024\n', 'SanteeCoastalReserve\nharleston CoSC\n\nCc\nG EFLoPresti\nN447OrmondHal\n', '2023\nDCR06211\n']","['2024\n', 'CR\nCC\n\nC\n447\n', '2023\nDCR06211\n']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000015.jpg,"[4000, 6000]",36.88235294117647,"['Photographedby\nAFletcher\n\n2024\n', '2023\nDCR06201\n', 'SanteeCoastal Reserve\nCharlestonCoSC\nEFLoPresti\n\nFDe174OrmondHall\n']","['D\n\n2024\n', '2023\nDCR06201\n', 'C R\nCC0C\n\n4D174C\n']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000016.jpg,"[4000, 6000]",37.580000000000005,"['2023\nDCR06212\n', 'Photoagraphedby\nAFletcher\n2024\n', 'SanteeCoastalReserve\nCharlestonCoSC\nf EFLoPresti\ns NAjZ4OrmondHall\n']","['2023\nDCR06212\n', '2024\n', 'CR\nCC0C\n274\n']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000017.jpg,"[4000, 6000]",37.54,"['AFietcher\n2024\n', '2023\nOCR06202\n', 'SamteeCoasialNeserve\nChartestonCoSC\n\na EFLoPrest\nDEZT3OrmondHall\n', '']","['2024\n', '2023\nDCR06202\n', 'C\nCC0C\n\n0\nD3C\n', '']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000018.jpg,"[4000, 6000]",37.52,"['2023\nDCR06213\n', 'SanteeCoastalReserve\nChariesjor CoSC\n\nq EFLoPresti\nAS IV93 OrmondHall\n', 'Photographedby\nAFletcher\n2024\n']","['2023\nDCR06213\n', 'CR\nC CC\n\n293\n', '2024\n']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000019.jpg,"[4000, 6000]",37.07843137254902,"['AFietcher\n2024\n', '', 'a\ncalibrite\n']","['2024\n', '', '7\nC\n']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000020.jpg,"[4000, 6000]",36.98039215686274,"['2023\nDCR06214\n', 'Photographedby\nAFletcher\n2024\n', 'Santee CoastalReserve\nCharleston Co\nEF LoPresti\n\nCn wey OrmondHall\n']","['2023\nDCR06214\n', '2024\n', 'CR\nC C\n\nC\n']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000021.jpg,"[4000, 6000]",37.07843137254902,"['AFletcher\n2024\n', '', '2023\nOCR06203\n']","['2024\n', '', '2023\nDCR06203\n']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000022.jpg,"[4000, 6000]",37.26,"['2023\nDCR06215\n', 'SanteeCoastaiKeserve\nCharlestogCoSC\n\nEFLoPresti\nOn JytZOrmondHall\n', 'Photographedby\nAFletcher\n2024\n']","['2023\nDCR06215\n', 'CR\nCC0C\n\n23C\n', '2024\n']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000023.jpg,"[4000, 6000]",37.5,"['AFletcher\n2024\n', '2023\nOCR06204\n', 'SsiaiCtCf\nSanteeCoastal Reserve\nChartesion CoSC\nEFLePresh\n\nGo 77OrmondHalt\n']","['2024\n', '2023\nCR06204\n', 'CC\nC R\nC CC\n\n77\n']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000024.jpg,"[4000, 6000]",37.160000000000004,"['2023\nDCR06216\n', 'Photographedby\nAFletcher\n2024\n', 'SanteeCoastalReserve\nCharlestonCoSC\nEFLoPresti\n\nNIY2ZLiveOak\n']","['2023\nDCR06216\n', '2024\n', 'CR\nCC0C\n20\n']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000025.jpg,"[4000, 6000]",37.27450980392157,"['2023\nDCR06204\n', 'Photographedby\nAFletcher\n2024\n', 'Santee CoastalReserve\nCharlestonCo sc\nFLePresti\n\nQoc477 OrmondHall\n']","['2023\nDCR06204\n', '2024\n', 'CR\nCC\n\n50477\n']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000026.jpg,"[4000, 6000]",37.26,"['2023\nDCR06217\n', 'SanteeCoastalReserve\nCharlestonCoSC\nEFLoPresti\n\nWV235LiveOak\n', 'Photographedby\nAFletcher\n2024\n']","['2023\nDCR06217\n', 'CR\nCC0C\n\n2350\n', '2024\n']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000027.jpg,"[4000, 6000]",37.1,"['2025\nDCR06218\n', 'Photographedby\nAFletcher\n2024\n', 'santeeCoastalReserve\nCharlestonCoSC\n2 EFLoPresti\ng 9V73LiveOak\n']","['2025\nDCR06218\n', '2024\n', 'CR\nCCC\n2 R\n973\n']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000028.jpg,"[4000, 6000]",37.1,"['2023\nDCR06219\n', 'AFletcher\n2024\n', '']","['2023\nDCR06219\n', '2024\n', '']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000029.jpg,"[4000, 6000]",37.059999999999995,"['Photographedby\nAFletcher\n2024\n', 'SanteeCoastal Reserve\nCharleston CoSC\nEFttoPresti\n\nNIV23LiveOak\n', '2023\nDCR06220\n']","['2024\n', 'C R\nC CC\nR\n\n223C\n', '2023\nDCR06220\n']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000030.jpg,"[4000, 6000]",37.24,"['2023\nDCR06221\n', 'Photographedby\nAFletcher\n2024\n', 'LL\nSantee Coastal Reserve\n\nCharleston Co\nLoPresti\n\ny EF\nadv LiveOak\n\nOd\n']","['2023\nDCR06221\n', '2024\n', 'C R\n\nC C\n\n3 0\n']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000031.jpg,"[4000, 6000]",37.63265306122449,"['Photographedby\nAFletcher\n\n2024\n', 'SanteeCoastalReserve\nCharlestanCoSC\nEFLoPresti\nOrmondHall\n', 'ean\n3\n\n202\n\nDCR06222\n', 'ql\ncali B72 te\n']","['2024\n', 'CR\nCCC\nR\n', '4\n3\n\n202\n\nDCR06222\n', '7\n']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000032.jpg,"[4000, 6000]",36.92,"['2023\nDCR06223\n', 'AFletcher\n2024\n', 'SanteeCoastalReserve\nCharlestonCoSC\n\ni4NV13OrmondHalt\n', 'calibrjte\n']","['2023\nDCR06223\n', '2024\n', 'CR\nCC0C\n\n413C\n', '']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000033.jpg,"[4000, 6000]",36.98039215686274,"['Photographedby\nAFletcher\n2024\n', 'SanteeCoastalReserve\nCharlestonCoSC\nE F LoPresti\nOrmondHall\n', '2023\n\nD\n', 'A\ncali bri te\n']","['2024\n', 'CR\nCCC\n', '2023\n\nD\n', '']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000034.jpg,"[4000, 6000]",37.21568627450981,"['Photoaraphedby\nAFletcher\n2024\n', 'SanteeCoastalReserve\nCharlestonCoSC\nEFLoPresti\nOrmondHall\n', '2023\nDCR06224\n', 'AK\ncali BF te\n']","['2024\n', 'CR\nCCC\n', '2023\nDCR06224\n', '7\n']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000035.jpg,"[4000, 6000]",37.05882352941176,"['2025\nDCR06226\n', 'SanteeCoastalReserve\nCharlestonCoSC\nEFLoPresti\n\nOrmondHall\n', 'Photographedby\nAFletcher\n2024\n']","['2025\nDCR06226\n', 'CR\nCCC\n', '2024\n']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000036.jpg,"[4000, 6000]",36.98,"['Photographedby\nAFletcher\n\n2024\n', '2023\nDCR06227\n', 'SanteeCoastalReserve\nCharlestonCoSC\nEFLoPresti\ntyJ7OrmondHall\n', 'A\ncali B7 te\n']","['2024\n', '2023\nDCR06227\n', 'CR\nCC0C\n7\n', 'C 7\n']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000037.jpg,"[4000, 6000]",37.3,"['EOL\n\nPhotographedbv\nAFletcher\n\n2024\n', '2023\n1pcR06228\n', 'SanteeCoastalReserve\nCharlestopCoSC\nEF LoPresti\n\nOrmondHall\n', 'A\ncali Me te\n']","['D\n\n2024\n', '2023\n1CR06228\n', 'CR\nCCC\n', '']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000038.jpg,"[4000, 6000]",37.24,"['2023\nDCR06229\n', 'SanteeCoastalReserve\nCharlestonCoSC\nE F LoPresti\nOrmondHal\n', 're\n\nPhotoaraphedbV\nAFletcher\n\n2024\n', 'en\ncali b7 te\n']","['2023\nDCR06229\n', 'CR\nCC0C\n', '2024\n', 'C 7\n']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000039.jpg,"[4000, 6000]",37.04,"['2023\nDCR06230\n', 'photoarapnedDY\nAFletcher\n2024\n', 'SanteeCoastalReserve\nCharlestenCoSC\nEFLoPresti\nPlay OrmondHal\n', 'cali brite\n']","['2023\nDCR06230\n', 'D\n2024\n', 'CR\nCCC\n', 'C\n']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000040.jpg,"[4000, 6000]",37.34,"['eoOEOU\n\nPhotoaraphedbY\nAFletcher\n\n2024\n', 'SanteeCoastalReserve\nCharlestopCoSC\nEF LoPresti\nOrmond Hall\n', '2023\nDCR06231\n', 'AK\ncali BF te\n']","['D\n\n2024\n', 'CR\nCCC\n', '2023\nDCR06231\n', '7\n']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000041.jpg,"[4000, 6000]",37.05882352941176,"['2023\nDCR06232\n', 'PhotographedOV\nA Fletcher\n2024\n', 'SanteeCoastalReserve\nCharleston CoSC\nE F LoPresti\n\nOrmondHall\n', 'cali brite\n']","['2023\nDCR06232\n', '2024\n', 'CR\nC CC\nC C\n', 'C\n']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000042.jpg,"[4000, 6000]",37.18000000000001,"['2023\nDCR06233\n', 'PhotograpnedOV\nAFietcher\n2024\n', 'SanteeCoastaiReserve\nCharlestonCoSC\nFLoPresti\nday OrmondHall\n', 'AoFD\n']","['2023\nDCR06233\n', 'D\n2024\n', 'CR\nCC0C\n423\n', '90D\n']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000043.jpg,"[4000, 6000]",37.52,"['2023\nDCR06234\n', 'Photographedby\nAFletcher\n\n2024\n', 'SanteeCoastalReserve\nCharlestgnCoSC\n\nEFLoPresti\n\npf OrmondHall\n']","['2023\nDCR06234\n', '2024\n', 'CR\nCCC\n']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000044.jpg,"[4000, 6000]",37.559999999999995,"['Photographedby\nAFletcher\n\n2024\n', 'SanteeCoastaiReserve\nCharlestoreCoSC\nie EFLoPresti\nAy72OrmondHall\n', '2023\nDCR06235\n']","['D\n\n2024\n', 'CR\nCCC\n72C\n', '2023\nDCR06235\n']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000045.jpg,"[4000, 6000]",37.44,"['2023\nDCR06236\n', 'Photographedby\nAFletcher\n\n2024\n', 'SanteeCoastalKeserve\nChartestonCoSC\n\npyOEF CoPresti\nredcsOrmondHall\n', 'a\ncali brite\n']","['2023\nDCR06236\n', '2024\n', 'CR\nCCC\nC\n', 'C\n']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000046.jpg,"[4000, 6000]",37.02,"['2023\nDCR06237\n', 'Photographedby\nAFletcher\n2024\n', 'SanteeCoastalReserve\nCharlestonCoSC\nEFLoPresti\nOrmondHail\n', 'iJ\ncalibrite\n']","['2023\nDCR06237\n', '2024\n', 'CR\nCC0C\nC\n', '2\n']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000047.jpg,"[4000, 6000]",37.5,"['Photographedby\nAFletcher\n2024\n', '2023\nDCR06238\n', 'SanteeCoastalReserve\nCharlestonCoSC\n7 E F LoPresti\nOrmondHall\n']","['D\n2024\n', '2023\nDCR06238\n', 'CR\nCCC\n7\n']",modelv1.0__2025-02-21 12:11:15
D:/moth_photos/database\batch_01\img_moth_00000048.jpg,"[4000, 6000]",37.57142857142858,"['2023\nDCR06239\n', 'Photographedby\nAFletcher\n\n2024\n', 'SanteeCoastalReserve\nChariestonCoSC\nEFLoPresti\n\nNIY23CollinsCreek\n', 'Kl\ncali B te\n']","['2023\nDCR06239\n', '2024\n', 'CR\nCC0C\n23CC\n', 'C\n']",modelv1.0__2025-02-21 12:11:15
