Genus_Species,Hostplant_Genus,Hostplant_Family
Apatelodes torrefacta,Carpinus,Corylaceae
Apatelodes torrefacta,Corylus,Corylaceae
Apatelodes torrefacta,Fraxinus,Oleaceae
Apatelodes torrefacta,Ilex,Aquifoliaceae
Apatelodes torrefacta,Lindera,Lauraceae
Apatelodes torrefacta,Myrica,Myricaceae
Apatelodes torrefacta,Prunus,Rosaceae
Apatelodes torrefacta,Quercus,Fagaceae
Apatelodes torrefacta,Alnus,Betulaceae
Apatelodes torrefacta,Carica,Caricaceae
Apatelodes torrefacta,Acer,Aceraceae
Apatelodes torrefacta,Rubus,Rosaceae
Apatelodes torrefacta,Sassafras,Lauraceae
Apatelodes torrefacta,Strophostyles,Leguminosae (P)
Apatelodes torrefacta,Viburnum,Caprifoliaceae
Apatelodes torrefacta,Rhododendron,Ericaceae
Apatelodes torrefacta,Ostrya,Corylaceae
Apatelodes torrefacta,Arctium,Compositae
Apatelodes torrefacta,Asimina,Annonaceae
Apatelodes torrefacta,Salix,Salicaceae
Apantesis phalerata,Plantago,Plantaginaceae
Apantesis phalerata,Taraxacum,Compositae
Apantesis phalerata,Trifolium,Leguminosae (P)
Apantesis vittata,Taraxacum,Compositae
Apantesis phalerata,Zea,Gramineae
Apantesis phalerata,Spartina,Gramineae
Apantesis vittata,Plantago,Plantaginaceae
Cisseps fulvicollis,Eleocharis,Cyperaceae
Clemensia albata,Picea,Pinaceae
Cisseps fulvicollis,Eupatorium,Compositae
Cisseps fulvicollis,Solidago,Compositae
Clemensia albata,Abies,Pinaceae
Clemensia albata,Protococcus,Algae
Clemensia albata,Tsuga,Pinaceae
Clemensia albata,Lobaria,Lichenes
Cisseps fulvicollis,Bromus,Gramineae
Cisseps fulvicollis,Zea,Gramineae
Clemensia albata,Hypogymnia,Lichenes
Crambidia pallida,NA,Lichenes
Cycnia tenera,Apocynum,Apocynaceae
Cycnia tenera,Asclepias,Asclepiadaceae
Coleotechnites huntella,Rhododendron,Ericaceae
Anavitrinella pampinaria,Acer,Aceraceae
Anavitrinella pampinaria,Alnus,Betulaceae
Anavitrinella pampinaria,Betula,Betulaceae
Anavitrinella pampinaria,Ceanothus,Rhamnaceae
Anavitrinella pampinaria,Fraxinus,Oleaceae
Anavitrinella pampinaria,Gossypium,Malvaceae
Anavitrinella pampinaria,Larix,Pinaceae
Anavitrinella pampinaria,Pinus,Pinaceae
Anavitrinella pampinaria,Populus,Salicaceae
Anavitrinella pampinaria,Prunus,Rosaceae
Anavitrinella pampinaria,Rubus,Rosaceae
Anavitrinella pampinaria,Thuja,Cupressaceae
Anavitrinella pampinaria,Carya,Juglandaceae
Anavitrinella pampinaria,Citrus,Rutaceae
Anavitrinella pampinaria,Fragaria,Rosaceae
Anavitrinella pampinaria,Pseudotsuga,Pinaceae
Anavitrinella pampinaria,Psidium,Myrtaceae
Anavitrinella pampinaria,Rumex,Polygonaceae
Anavitrinella pampinaria,Salix,Salicaceae
Anavitrinella pampinaria,Shepherdia,Elaeagnaceae
Anavitrinella pampinaria,Vaccinium,Ericaceae
Anavitrinella pampinaria,Viburnum,Caprifoliaceae
Anavitrinella pampinaria,Baccharis,Compositae
Anavitrinella pampinaria,Cornus,Cornaceae
Anavitrinella pampinaria,Daucus,Umbelliferae
