file_name,image_size,tick_size,tag_text,tag_id_guess_m,tag_id_guess_h,inference_info
D:/moth_photos/database\batch_01\img_moth_00000001.jpg,"[4000, 6000]",37.333333333333336,"['Photographedby\nAFletcher\n2024\n', '2023\nDCR06194\n', 'SanteeCoastalReserve\nCharlestanCoSC\n\nGq EFLoPresti\n023Ormond Hall\n\n', '']","['2024\n', '2023\nDCR06194\n', 'CR\nCC0C\n023\n\n', '']","['P\n2024\n', '2023\nC06194\n', 'C\nCC0C\n\nP\n023\n\n', '']",modelv1.0__2026-05-19 23:03:23
D:/moth_photos/database\batch_01\img_moth_00000002.jpg,"[4000, 6000]",37.568627450980394,"['2023\n\nPCR06205\n', 'Photographedby\nAFletcher\n2024\n', 'SanteeCoastalReserve\n']","['2023\n\nDCR06205\n', '2024\n', 'CR\n']","['2023\n\nPC06205\n', 'P\n2024\n', 'C\n']",modelv1.0__2026-05-19 23:03:23
D:/moth_photos/database\batch_01\img_moth_00000003.jpg,"[4000, 6000]",37.411764705882355,"['2023\nDCR06195\n', 'Photographedby\nAFletcher\n2024\n', 'SanteeCoastalReserve\nCharlestonCoSC\n\nq EFLPresti\nDELZ3OrmondHall\n', '']","['2023\nDCR06195\n', '2024\n', 'CR\nCCC\nR\nD123C\n', '']","['2023\nPC06195\n', 'P\n2024\n', 'C\nCCC\nP\n0123C\n', '']",modelv1.0__2026-05-19 23:03:23
D:/moth_photos/database\batch_01\img_moth_00000004.jpg,"[4000, 6000]",37.549019607843135,"['2023\nDCR06206\n', 'Photographedby\nAFletcher\n2024\n', 'SanteeCoastalReserve\nCharleston Co Sse\n\nanon 73 Live OakTrap\n']","['2023\nDCR06206\n', '2024\n', 'CR\nC C\n\n73\n']","['2023\nC06206\n', 'P\n2024\n', 'CP\nC C\n\n73\n']",modelv1.0__2026-05-19 23:03:23
D:/moth_photos/database\batch_01\img_moth_00000005.jpg,"[4000, 6000]",37.21568627450981,"['Photographedby\nAFletcher\n2024\n', '2023\nDCR06196\n', 'Santee Coastal Reserve\n\nCharleston CoS\nLoPresti\n\nE\nFoe ZOrmondHall\n', '']","['2024\n', '2023\nDCR06196\n', 'C R\n\nC C\nC\n\n30\n', '']","['P\n2024\n', '2023\nPC06196\n', 'C\n\nC C\nCP\n\n30\n', '']",modelv1.0__2026-05-19 23:03:23
D:/moth_photos/database\batch_01\img_moth_00000006.jpg,"[4000, 6000]",37.05769230769231,"['2023\nDCR06207\n', 'Photographedby\nAFletcher\n2024\n', 'SanteeCoastalReserve\nCharlestonCoSC\nqEFLoPrestt\nLagyop77aLiveOakTrag\n']","['2023\nDCR06207\n', '2024\n', 'CR\nCC0C\n77\n']","['2023\nC06207\n', 'P\n2024\n', 'C\nCC0C\nP\n77\n']",modelv1.0__2026-05-19 23:03:23
D:/moth_photos/database\batch_01\img_moth_00000007.jpg,"[4000, 6000]",37.450980392156865,"['UO\n2023\n\nDCR06197\n', 'Photographedby\nAFletcher\n2024\n', 'SanteeCoastalReserve\nCharlestonCoSC\nEFtoPresti\n\nFO23OrmondHall\n', '']","['2023\n\nDCR06197\n', '2024\n', '5CR\nCC0C\n0R\n\nD023C\n', '']","['2023\n\nPC06197\n', 'P\n2024\n', '5C\nCC0C\n0P\n\n023C\n', '']",modelv1.0__2026-05-19 23:03:23
D:/moth_photos/database\batch_01\img_moth_00000008.jpg,"[4000, 6000]",36.96153846153846,"['2023\nDCR06208\n', 'Photographedby\nAFletcher\n2024\n', 'SanteeCoastalReserve\nCharlestonCoSC\nEFLePresti\nYn JJ44OrmondHail\n']","['2023\nDCR06208\n', '2024\n', 'CR\nCC0C\n44\n']","['2023\nC06208\n', 'P\n2024\n', 'C\nCC0C\nP\n44\n']",modelv1.0__2026-05-19 23:03:23
D:/moth_photos/database\batch_01\img_moth_00000009.jpg,"[4000, 6000]",37.27450980392157,"['2023\n\nDCRO6198\n', 'Photographedby\nAFletcher\n2024\n', 'SanteeCoastalReserve\nCharlestoreCoSC\n\nI EFLoPresti\nOg73OrmondHall\n', '']","['2023\n\nDCR06198\n', '2024\n', 'CR\nCCC\n\n0730\n', '']","['2023\n\nPC06198\n', 'P\n2024\n', 'C\nCCC\n\nP\n0730\n', '']",modelv1.0__2026-05-19 23:03:23
D:/moth_photos/database\batch_01\img_moth_00000010.jpg,"[4000, 6000]",37.666666666666664,"['2023\nDCR06209\n', 'Photographedby\nAFletcher\n2024\n', 'SanteeCoastalReserve\nCharlestonoSC\nEFLoPresti\n\nGntiav3OrmondHall\n']","['2023\nDCR06209\n', '2024\n', 'CR\nCC\n\n3\n']","['2023\nC06209\n', 'P\n2024\n', 'C\nCC\nP\n\n3\n']",modelv1.0__2026-05-19 23:03:23
D:/moth_photos/database\batch_01\img_moth_00000011.jpg,"[4000, 6000]",37.21568627450981,"['Santee CoastalReserve\nCharlestonCoSC\nq EFoPresti\n1D0EL23 OrmondHall\n', '2023\n\nDCR06199\n', 'pFletcnet\n2024\n\n']","['CR\nCC0C\nR\n1D023\n', '2023\n\nDCR06199\n', '2024\n\n']","['C\nCC0C\nP\n1023\n', '2023\n\nC06199\n', '2024\n\n']",modelv1.0__2026-05-19 23:03:23
D:/moth_photos/database\batch_01\img_moth_00000012.jpg,"[4000, 6000]",36.94230769230769,"['Photographedby\nAFletcher\n2024\n', 'santeeCoastal Resefve\nCharlestonCO sc\nFLoPresti\nWOULOrmondHall\n\n', '2023\nDCR06210\n']","['2024\n', 'C R\nCC\n\n', '2023\nDCR06210\n']","['P\n2024\n', 'C\nCC\nP\nW\n\n', '2023\nC06210\n']",modelv1.0__2026-05-19 23:03:23
D:/moth_photos/database\batch_01\img_moth_00000013.jpg,"[4000, 6000]",37.333333333333336,"['SanteeCoastalReserve\nCharlestonCoSC\n\n4 EFLoPresti\nOF230rmondHall\n', '2023\nDCR06200\n', 'Ssti\nAFietchet\n\n2024\n', '']","['CR\nCC0C\n\n4\n230\n', '2023\nDCR06200\n', '2024\n', '']","['C\nCC0C\n\n4 P\n230\n', '2023\nC06200\n', '2024\n', '']",modelv1.0__2026-05-19 23:03:23
D:/moth_photos/database\batch_01\img_moth_00000014.jpg,"[4000, 6000]",37.58823529411765,"['2023\nDCR06211\n', 'Photographedby\nAFletcher\n2024\n', 'SanteeCoastalReserve\nCharleston CoSC\n\nG EFLoPresti\nN447OrmondHall\n']","['2023\nDCR06211\n', '2024\n', 'CR\nC CC\n\n447\n']","['2023\nC06211\n', 'P\n2024\n', 'C\nC CC\n\nP\n447\n']",modelv1.0__2026-05-19 23:03:23
D:/moth_photos/database\batch_01\img_moth_00000015.jpg,"[4000, 6000]",37.411764705882355,"['Photographedby\nAFletcher\n\n2024\n', '2023\nDCR06201\n', 'Santee CoastalReserve\nCharlestonCoSC\nEFLoPresti\n\nFDe174OrmondHall\n']","['D\n\n2024\n', '2023\nDCR06201\n', 'CR\nCC0C\n\n4D174C\n']","['P\n\n2024\n', '2023\nC06201\n', 'C\nCC0C\nP\n\n4174C\n']",modelv1.0__2026-05-19 23:03:23
D:/moth_photos/database\batch_01\img_moth_00000016.jpg,"[4000, 6000]",37.607843137254896,"['2023\nDCR06212\n', 'Photographedby\nAFletcher\n2024\n', 'SanteeCoastalReserve\nCharlestonCoSC\nEFLoPresti\nAnny OrmondHall\n']","['2023\nDCR06212\n', '2024\n', 'CR\nCC0C\n2\n']","['2023\nC06212\n', 'P\n2024\n', 'C\nCC0C\nP\n2\n']",modelv1.0__2026-05-19 23:03:23
D:/moth_photos/database\batch_01\img_moth_00000017.jpg,"[4000, 6000]",37.31372549019608,"['AFietcher\n2024\n', '2023\nOCR06202\n', 'CoasiaiKeserve\nChartestonCoSC\na EFLoPreet\nDEZT3OrmondHall\n', '']","['2024\n', '2023\nDCR06202\n', 'C\nCC0C\nC\nD3C\n', '']","['2024\n', '2023\nC06202\n', 'C\nCC0C\nCP\nP3C\n', '']",modelv1.0__2026-05-19 23:03:23
D:/moth_photos/database\batch_01\img_moth_00000018.jpg,"[4000, 6000]",37.450980392156865,"['2023\nDCR06213\n', 'SanteeCoastalReserve\nCharlestonCo sc\n\nq FLoPresti\nNIv93 OrmondHall\n', 'Photographedby\nAFletcher\n2024\n']","['2023\nDCR06213\n', 'CR\nCC C\n\n293\n', '2024\n']","['2023\nC06213\n', 'C\nCC C\n\nW P\n293\n', 'P\n2024\n']",modelv1.0__2026-05-19 23:03:23
D:/moth_photos/database\batch_01\img_moth_00000019.jpg,"[4000, 6000]",37.509803921568626,"['AFistcher\n2024\n', '']","['2024\n', '']","['2024\n', '']",modelv1.0__2026-05-19 23:03:23
D:/moth_photos/database\batch_01\img_moth_00000020.jpg,"[4000, 6000]",37.01923076923077,"['2025\nDCR06214\n', 'Santee CoastalReserve\nCharleston CoSC\nEF LoPresti\n\nGy wey OrmondHall\n', 'Photographedby\nAFletcher\n2024\n']","['2025\nDCR06214\n', 'CR\nC CC\n', '2024\n']","['2025\nC06214\n', 'C\nC CC\nP P\n\nW\n', 'P\n2024\n']",modelv1.0__2026-05-19 23:03:23
D:/moth_photos/database\batch_01\img_moth_00000021.jpg,"[4000, 6000]",37.13725490196079,"['AFletcher\n2024\n', '', '2023\nOCR06203\n']","['2024\n', '', '2023\nDCR06203\n']","['2024\n', '', '2023\nC06203\n']",modelv1.0__2026-05-19 23:03:23
D:/moth_photos/database\batch_01\img_moth_00000022.jpg,"[4000, 6000]",37.35294117647059,"['2023\nDCR06215\n', 'SanteeCoastaiResefve\nCharlestogCoSC\n\nEFLoPresti\nOn JytZOrmondHall\n', 'Photographedby\nAFletcher\n2024\n']","['2023\nDCR06215\n', 'CR\nCC0C\n\n23C\n', '2024\n']","['2023\nC06215\n', 'C\nCC0C\n\nP\n23C\n', 'P\n2024\n']",modelv1.0__2026-05-19 23:03:23
D:/moth_photos/database\batch_01\img_moth_00000023.jpg,"[4000, 6000]",37.27450980392157,"['AFletcher\n2024\n', '2023\nOCR06204\n', '']","['2024\n', '2023\nCR06204\n', '']","['2024\n', '2023\nC06204\n', '']",modelv1.0__2026-05-19 23:03:23
D:/moth_photos/database\batch_01\img_moth_00000024.jpg,"[4000, 6000]",36.98039215686274,"['2023\nDCR06216\n', 'SanteeCoastalReserve\nCharlestonCoSC\nEFLoPresti\n\nNIY2ZLiveOak\n', 'Photographedby\nAFletcher\n2024\n']","['2023\nDCR06216\n', 'CR\nCC0C\n20\n', '2024\n']","['2023\nPC06216\n', 'C\nCC0C\nP\n\n20\n', 'P\n2024\n']",modelv1.0__2026-05-19 23:03:23
D:/moth_photos/database\batch_01\img_moth_00000025.jpg,"[4000, 6000]",37.509803921568626,"['2023\nDCR06204\n', 'Photographedby\nAFletcher\n2024\n', 'Santee CoastalReserve\nCharlestonCo sc\nFLePresti\n\nVoc2t OrmondHall\nee\n']","['2023\nDCR06204\n', '2024\n', 'CR\nCC\n\n2\n']","['2023\nC06204\n', 'P\n2024\n', 'C\nCC\nP\n\n2\n']",modelv1.0__2026-05-19 23:03:23
D:/moth_photos/database\batch_01\img_moth_00000026.jpg,"[4000, 6000]",37.13725490196079,"['2025\nDCR06217\n', 'SanteeCoastalReserve\nCharlestonCoSC\nEFLoPresti\n\nWV235LiveOak\n', 'Photographedby\nAFletcher\n2024\n']","['2025\nDCR06217\n', 'CR\nCC0C\n\n2350\n', '2024\n']","['2025\nPC06217\n', 'C\nCC0C\nP\n\nW2350\n', 'P\n2024\n']",modelv1.0__2026-05-19 23:03:23
D:/moth_photos/database\batch_01\img_moth_00000027.jpg,"[4000, 6000]",37.21568627450981,"['2023\nDCR06218\n', 'Photographedby\nAFletcher\n2024\n', 'SanteeCoastalReserve\nCharlestonCoSC\nEFLoPresti\nPa 9V73LiveOak\n', 'MND\ncalibrite\n']","['2023\nDCR06218\n', '2024\n', 'CR\nCCC\nD 9730\n', 'DD\n']","['2023\nC06218\n', 'P\n2024\n', 'C\nCCC\nP\nP 9730\n', '']",modelv1.0__2026-05-19 23:03:23
D:/moth_photos/database\batch_01\img_moth_00000028.jpg,"[4000, 6000]",37.411764705882355,"['AFletcher\n2024\n', '2023\nDCR06219\n', '']","['2024\n', '2023\nDCR06219\n', '']","['P\n2024\n', '2023\nC06219\n', '']",modelv1.0__2026-05-19 23:03:23
D:/moth_photos/database\batch_01\img_moth_00000029.jpg,"[4000, 6000]",37.1764705882353,"['2023\n\nDCR06220\n', 'Photographedby\nAFletcher\n2024\n', 'SanteeCoastal Reserve\nCharleston CoSC\nEFttoPresti\n\nNIV23LiveOak\n', 'ee\ncalibrite\n']","['2023\n\nDCR06220\n', '2024\n', 'C R\nC CC\nR\n\n223C\n', '']","['2023\n\nC06220\n', 'P\n2024\n', 'C\nC CC\nP\n\n2W23C\n', 'PP\n']",modelv1.0__2026-05-19 23:03:23
D:/moth_photos/database\batch_01\img_moth_00000030.jpg,"[4000, 6000]",37.11764705882353,"['Photographedby\nAFletcher\n2024\n', '2023\nDCR06221\n', 'EU\nSantee Coastal Reserve\n\nCharleston CoSC\n2 EF LoPresti\nadv13 LiveOak\n', 'ND\ncalibrite\n']","['2024\n', '2023\nDCR06221\n', 'C R\n\nC CC\n2\n13 C\n', 'DD\n']","['P\n2024\n', '2023\nPC06221\n', 'C\n\nC CC\n2 P\n13 C\n', '']",modelv1.0__2026-05-19 23:03:23
