file_name,image_size,inference_info
D:\moth_photos\database\batch_07\img_moth_00012001.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:57:33
D:\moth_photos\database\batch_07\img_moth_00012002.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:57:33
D:\moth_photos\database\batch_07\img_moth_00012003.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:57:33
D:\moth_photos\database\batch_07\img_moth_00012004.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:57:33
D:\moth_photos\database\batch_07\img_moth_00012005.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:57:33
D:\moth_photos\database\batch_07\img_moth_00012006.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:57:33
D:\moth_photos\database\batch_07\img_moth_00012007.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:57:33
D:\moth_photos\database\batch_07\img_moth_00012008.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:57:33
D:\moth_photos\database\batch_07\img_moth_00012009.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:57:33
D:\moth_photos\database\batch_07\img_moth_00012010.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:57:33
D:\moth_photos\database\batch_07\img_moth_00012011.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:57:33
D:\moth_photos\database\batch_07\img_moth_00012012.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:57:33
D:\moth_photos\database\batch_07\img_moth_00012013.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:57:33
D:\moth_photos\database\batch_07\img_moth_00012014.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:57:33
D:\moth_photos\database\batch_07\img_moth_00012015.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:57:33
D:\moth_photos\database\batch_07\img_moth_00012016.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:57:33
D:\moth_photos\database\batch_07\img_moth_00012017.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:57:33
D:\moth_photos\database\batch_07\img_moth_00012018.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:57:33
D:\moth_photos\database\batch_07\img_moth_00012019.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:57:33
