file_name,image_size,inference_info
D:/moth_photos/database/batch_07\img_moth_00013457.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013458.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013459.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013460.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013461.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013462.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013463.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013464.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013465.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013466.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013467.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013468.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013469.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013470.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013471.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013472.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013473.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013474.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013475.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013476.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013477.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013478.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013479.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013480.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013481.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013482.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013483.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013484.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013485.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013486.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013487.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013488.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013489.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013490.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013491.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013492.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013493.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013494.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013495.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013496.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013497.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013498.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013499.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013500.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013501.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013502.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013503.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013504.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013505.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013506.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013507.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013508.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013509.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013510.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013511.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013512.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013513.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013514.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013515.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013516.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013517.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013518.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013519.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013520.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013521.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013522.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013523.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013524.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013525.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013526.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013527.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013528.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013529.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013530.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013531.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013532.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013533.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013534.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013535.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013536.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013537.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013538.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013539.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013540.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013541.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013542.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013543.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013544.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013545.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013546.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013547.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013548.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013549.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013550.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013551.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013552.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013553.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013554.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013555.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013556.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013557.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013558.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013559.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013560.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013561.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013562.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013563.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013564.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013565.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013566.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013567.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013568.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
D:/moth_photos/database/batch_07\img_moth_00013569.jpg,"[4000, 6000]",modelv1.0__2025-04-08 15:27:59
