file_name,image_size,tick_size,tag_text,tag_id_guess,inference_info
D:/moth_photos/database\batch_02\img_moth_00002001.jpg,"[4000, 6000]",37.04,"['Photographedby\nAFletcher\n2024\n', 'SanteeCoastalReserve\nCharlestonCoSC\nEFLoPeesti\n8Oct2024Mazvck\n\n', '2024\nDCR6005\n']","['2024\n', 'CR\nCC0C\n802024\n\n', '2024\nDCR6005\n']",modelv1.0__2025-02-21 13:36:10
D:/moth_photos/database\batch_02\img_moth_00002002.jpg,"[4000, 6000]",36.82,"['Photographedby\nAFletcher\n2024\n', '2024\nDCR6007\n', 'SanteeCoastalReserve\nChariestonCoSC\nEFLoPresti\n\n8Oct2024Mazvck\n']","['2024\n', '2024\nDCR6007\n', 'CR\nCC0C\nR\n\n802024\n']",modelv1.0__2025-02-21 13:36:10
D:/moth_photos/database\batch_02\img_moth_00002003.jpg,"[4000, 6000]",36.800000000000004,"['Photographedby\nAFletcher\n2024\n', 'SanteeCoastalReserve\nChartestonCoSC\nEFLoPresti\n8Oct2024Mazvck\n', '2024\nDCR6008\n']","['2024\n', 'CR\nCCC\nR\n802024\n', '2024\nDCR6008\n']",modelv1.0__2025-02-21 13:36:10
D:/moth_photos/database\batch_02\img_moth_00002004.jpg,"[4000, 6000]",36.800000000000004,"['Photographedby\nAFletcher\n2024\n', 'SanteeCoastalReserve\nChariestohCoSC\nEFLoPresti\n8Oct2024Mazvck\n', '2024\nDCR6012\n\n']","['2024\n', 'CR\nCC05C\n82024\n', '2024\nDCR6012\n\n']",modelv1.0__2025-02-21 13:36:10
D:/moth_photos/database\batch_02\img_moth_00002005.jpg,"[4000, 6000]",37.1,"['vanteeCoastalReserv\nChariestonCoSC\nEFLoPresti\n8Oct2024Mazvck\n', 'Photographedby\nAFletcher\n2024\n', '2024\nDCR6006\n']","['CR\nCCC\n82024\n', '2024\n', '2024\nDCR6006\n']",modelv1.0__2025-02-21 13:36:10
D:/moth_photos/database\batch_02\img_moth_00002006.jpg,"[4000, 6000]",36.580000000000005,"['Photographedby\nAFletcher\n2024\n', 'SanteeCoastalReserve\nCharlestonCoSC\nEFLoPresti\n8Oct2024Mazvck\n', '2024\nDCR6011\n\n']","['2024\n', 'CR\nCC0C\n802024\n', '2024\nDCR6011\n\n']",modelv1.0__2025-02-21 13:36:10
D:/moth_photos/database\batch_02\img_moth_00002007.jpg,"[4000, 6000]",36.92,"['AFletcher\n2024\n', 'SanteeCoastalReserve\nChartestonCoSC\nEFLoPzesti\n\n8Oct2024Mazvyck\n', '2024\nDCR6010\n']","['2024\n', 'CR\nCCC\n82024\n', '2024\nDCR6010\n']",modelv1.0__2025-02-21 13:36:10
D:/moth_photos/database\batch_02\img_moth_00002008.jpg,"[4000, 6000]",37.14,"['Photographedby\nAFletcher\n2024\n', '2024\nDCR6009\n', 'santeeCoastalReserve\nCharlestonCoSC\nEFLoPresti\n8Oct2024Mazvck\n']","['2024\n', '2024\nDCR6009\n', 'CR\nCCC\n8C2024\n']",modelv1.0__2025-02-21 13:36:10
D:/moth_photos/database\batch_02\img_moth_00002009.jpg,"[4000, 6000]",36.88,"['Photographedby\nAFletcher\n2024\n', 'SanteeCoastalReserve\nChartestonCoSC\nEFLePresti\n8Oct2024Mazvck\n', '2024\nDCR6015\n']","['2024\n', 'CR\nCCC\n802024\n', '2024\nDCR6015\n']",modelv1.0__2025-02-21 13:36:10
D:/moth_photos/database\batch_02\img_moth_00002010.jpg,"[4000, 6000]",36.96,"['Photographedby\nAFletcher\n2024\n', '2024\nDCR6013\n', 'SanteeCoastalReserve\nCharlestonCoSC\nEFLoPresti\n8Oct2024Mazvck\n']","['2024\n', '2024\nDCR6013\n', 'DCR\nCCC\n802024\n']",modelv1.0__2025-02-21 13:36:10
D:/moth_photos/database\batch_02\img_moth_00002011.jpg,"[4000, 6000]",36.96,"['Photographedby\nAFletcher\n2024\n', '2024\nDCR6014\n', 'SanteeCoastalReserve\n\nCharlestanCoSC\nEFLoPresti\n8Oct2024Mazyck\n']","['2024\n', '2024\nDCR6014\n', 'CR\n\nCCC\n802024\n']",modelv1.0__2025-02-21 13:36:10
D:/moth_photos/database\batch_02\img_moth_00002012.jpg,"[4000, 6000]",37.0,"['Photographedby\nAFletcher\n2024\n', 'SanteeCoastal Reserve\nCharlestonCoSC\nEFLoPresti\n7Oct2024LiveOak\n', '2024\nDCR6027\n']","['2024\n', 'C R\nCC0C\n7020240\n', '2024\nDCR6027\n']",modelv1.0__2025-02-21 13:36:10
D:/moth_photos/database\batch_02\img_moth_00002013.jpg,"[4000, 6000]",37.14,"['Photographedby\nAFletcher\n2024\n', 'SanteeCoastalReserve\nCharlestonCoSC\nEFoPresti\n7Oct2024LiveOak\n', '2024\nDCR6021\n']","['2024\n', 'CR\nCC0C\n0R\n7020240\n', '2024\nDCR6021\n']",modelv1.0__2025-02-21 13:36:10
D:/moth_photos/database\batch_02\img_moth_00002014.jpg,"[4000, 6000]",37.1,"['Photographedby\nAFletcher\n2024\n', '2024\nDCR6028\n', 'SanteeCoastalReserve\nCharlestonCoSC\nEFLoPresti\n7Oct2024LiveOak\n']","['2024\n', '2024\nDCR6028\n', 'CR\nCC0C\n72024\n']",modelv1.0__2025-02-21 13:36:10
D:/moth_photos/database\batch_02\img_moth_00002015.jpg,"[4000, 6000]",36.627450980392155,"['Photographedby\nAFletcher\n2024\n', 'SanteeCoastalReserve\nCharlestonCoSC\nEFtsoPresti\n7Oct2024LiveOak\n\n', '2024\nDCR6025\n']","['2024\n', 'CR\nCCC\n72024\n\n', '2024\nDCR6025\n']",modelv1.0__2025-02-21 13:36:10
D:/moth_photos/database\batch_02\img_moth_00002016.jpg,"[4000, 6000]",36.9,"['Photographedby\nAFletcher\n2024\n', '2024\nDCR6029\n', 'SanteeCoastalReserve\nCharlestonCoSC\nEFLoPresti\n7Oct2024LiveOak\n\n']","['2024\n', '2024\nDCR6029\n', 'CR\nCCC\n702024C\n\n']",modelv1.0__2025-02-21 13:36:10
D:/moth_photos/database\batch_02\img_moth_00002017.jpg,"[4000, 6000]",36.588235294117645,"['Photographedby\nAFletcher\n2024\n', 'SanteeCoastalReserve\nCharleston CoSC\nEFLoPresti\n7Oct2024LiveOak\n', '2024\nDCR6026\n']","['2024\n', 'CR\nC CC\n7020240\n', '2024\nDCR6026\n']",modelv1.0__2025-02-21 13:36:10
D:/moth_photos/database\batch_02\img_moth_00002018.jpg,"[4000, 6000]",36.96,"['Photographedby\nAFletcher\n2024\n', '2024\nDCR6023\n', 'SanteeCoastalReserve\nCharless6nCoSC\nEFLoPresti\n7Oct2024LiveOak\n']","['2024\n', '2024\nDCR6023\n', 'CR\nC6CC\n720240\n']",modelv1.0__2025-02-21 13:36:10
D:/moth_photos/database\batch_02\img_moth_00002019.jpg,"[4000, 6000]",37.160000000000004,"['Photographedby\nAFletcher\n2024\n', '2024\nDCR6016\n', 'SanteeCoastalReserve\nCharlestonCoSC\nEFLePresti\n\n7Oct2024LiveOak\n']","['2024\n', '2024\nDCR6016\n', 'CR\nCCC\n72024C\n']",modelv1.0__2025-02-21 13:36:10
D:/moth_photos/database\batch_02\img_moth_00002020.jpg,"[4000, 6000]",37.14,"['Photographedby\nAFletcher\n2024\n', '2024\nDCR6017\n', 'SanteeCoastalReserve\nCharlestonCoSC\nEFLoPresti\n7Oct2024LiveOak\n']","['2024\n', '2024\nDCR6017\n', 'CR\nCCC\n702024\n']",modelv1.0__2025-02-21 13:36:10
D:/moth_photos/database\batch_02\img_moth_00002021.jpg,"[4000, 6000]",36.43137254901961,"['Photographedby\nAFletcher\n2024\n', 'SanteeCoastalReserve\nCharlestonCoSC\nEFLoPresti\n\n7Oct2024LiveOak\n', 'eS\n\n2024\nDCR6019\n']","['2024\n', 'CR\nCC0C\n702024C\n', '2024\nDCR6019\n']",modelv1.0__2025-02-21 13:36:10
D:/moth_photos/database\batch_02\img_moth_00002022.jpg,"[4000, 6000]",36.96,"['SanteeCoastalReserve\nCharleston CoSC\nEFLoPresti\n7Oct2024LiveOak\n', 'Photographedby\nAFletcher\n2024\n', '2024\nDCR6020\n']","['CR\nC CC\n72024\n', '2024\n', '2024\nDCR6020\n']",modelv1.0__2025-02-21 13:36:10
