file_name,image_size,inference_info
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\1-10-24__subdir__2024_01_10__subdir__IMG_0003_1.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\1-13-25__subdir__2025_01_13__subdir__IMG_0049.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\1-14-25__subdir__2025_01_14__subdir__IMG_0087.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\1-16-25__subdir__2025_01_16__subdir__IMG_0002_1.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\1-16-25__subdir__2025_01_16__subdir__IMG_0006.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\1-17-25__subdir__2025_01_17__subdir__IMG_0016.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\1-18-24__subdir__2024_01_18__subdir__IMG_0008.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\1-18-24__subdir__2024_01_18__subdir__IMG_0043.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\1-18-24__subdir__2024_01_18__subdir__IMG_0045.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\1-18-24__subdir__2024_01_18__subdir__IMG_0047.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\1-23-24__subdir__2024_01_23__subdir__IMG_0057.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\1-24-24__subdir__2024_01_24__subdir__IMG_0001.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
