file_name,image_size,tick_size,tag_text,tag_id_guess_m,tag_id_guess_h,inference_info
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\1-10-24__subdir__2024_01_10__subdir__IMG_0003_1.JPG,"[4000, 6000]",37.05769230769231,"['2023\nDCR06207\n', 'Photographedby\nAFletcher\n2024\n', 'SanteeCoastalReserve\nCharlestonCoSC\nqEFLoPrestt\nLagyop77aLiveOakTrag\n']","['2023\nDCR06207\n', '2024\n', 'CR\nCC0C\n77\n']","['2023\nC06207\n', 'P\n2024\n', 'C\nCC0C\nP\n77\n']",modelv1.0__2026-05-19 22:32:36
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\1-13-25__subdir__2025_01_13__subdir__IMG_0049.JPG,"[4000, 6000]",37.450980392156865,"['2024\nDCR7815\n', 'vanteeCoastalReserve\nChartestonCoSC\n\ni Cord LoPtesti\n\n24CvoressTrap\n', 'Photographedby\nAFletcher\n2024\n']","['2024\nDCR7815\n', 'CR\nCC0C\n\nC\n\n24C\n', 'D\n2024\n']","['2024\nC7815\n', 'CP\nCC0C\n\nC P\n\n24C\n', 'P\n2024\n']",modelv1.0__2026-05-19 22:32:36
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\1-14-25__subdir__2025_01_14__subdir__IMG_0087.JPG,"[4000, 6000]",37.13725490196079,"['noearmites\nAKF2024\n', '2024\nDCR7938\n', 'SanteeCoastalReserve\nCharlestonCoSC\nAFletcher\n\n2Nov2024ScrubOak\n', 'Photographedby\nAFletcher\n2024\n']","['2024\n', '2024\nDCR7938\n', 'CR\nCC0C\n220240\n', '2024\n']","['2024\n', '2024\nC7938\n', 'C\nCC0C\n220240\n', 'P\n2024\n']",modelv1.0__2026-05-19 22:32:36
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\1-16-25__subdir__2025_01_16__subdir__IMG_0002_1.JPG,"[4000, 6000]",36.94117647058823,"['AKF2024\n\nt\n', 'Photographedby\nAFletcher\n2024\n', 'SanteeCoastalReserve\nCharlestonCoSC\nAFletcher\n\n16Dec2024FarOH\n', '2024\nDCR7969\n']","['2024\n', '2024\n', 'CR\nCC0C\n16D20240\n', '2024\nDCR7969\n']","['2024\n', 'P\n2024\n', 'C\nCC0C\n1620240\n', '2024\nPC7969\n']",modelv1.0__2026-05-19 22:32:36
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\1-16-25__subdir__2025_01_16__subdir__IMG_0006.JPG,"[4000, 6000]",37.2,"['SanteeCoastalReserve\nCharlestonCoSC\nAFletcher\n2Jul2024CollinsCreek\n', 'Photographedby\nAFletcher\n2024\n', '2024\nDCR7951\n', 'leftearmites\n\nEFL2024\n']","['CR\nCCC\n22024CC\n', '2024\n', '2024\nDCR7951\n', '2024\n']","['C\nCCC\n22024CC\n', 'P\n2024\n', '2024\nC7951\n', '2024\n']",modelv1.0__2026-05-19 22:32:36
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\1-17-25__subdir__2025_01_17__subdir__IMG_0016.JPG,"[4000, 6000]",36.76470588235294,"['SanteeCoastalReserve\nCharlestonCoSC\nEFLoPfesti\n8Oct2024mazW5\n', 'Photographedby\nAFletcher\n2024\n', '2024\nDCR8091\n']","['CR\nCCC\n8020245\n', '2024\n', '2024\nDCR8091\n']","['C\nCCC\nP\n802024W5\n', 'P\n2024\n', '2024\nC8091\n']",modelv1.0__2026-05-19 22:32:36
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\1-18-24__subdir__2024_01_18__subdir__IMG_0008.JPG,"[4000, 6000]",get_ruler_failed,"['Photographedby\nAFletcher\n2024\n', '2023\nDCR06534\n', 'SanteeCoastalReserve\nCharlestonCoSC\ne EFLoPresti\n4y 4U4 incidentai\n']","['2024\n', '2023\nDCR06534\n', 'CR\nCC0C\n4 44\n']","['P\n2024\n', '2023\nC06534\n', 'C\nCC0C\nP\n4 44\n']",modelv1.0__2026-05-19 22:32:36
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\1-18-24__subdir__2024_01_18__subdir__IMG_0043.JPG,"[4000, 6000]",37.580000000000005,"['2023\nDCR06288\n', '', 'SanteeCoastalReserve\nCharlestonCoSC\nAFletcher\nOnov73 JamesCane\n']","['2023\nDCR06288\n', '', 'CR\nCC0C\n73 C\n']","['2023\nC06288\n', '', 'C\nCC0C\n73 C\n']",modelv1.0__2026-05-19 22:32:36
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\1-18-24__subdir__2024_01_18__subdir__IMG_0045.JPG,"[4000, 6000]",37.31372549019608,"['2023\nDCR06296\n', 'SanteeCoastaiReserve\nCharlestonCoSC\nQ AFietcher\nNJv23JamesCane\n', 'ee\n\nPhotoarapnedDV\nAFletcher\n\n2024\n\neoIEOCt\n']","['2023\nDCR06296\n', 'CR\nCCC\n23C\n', 'D\n\n2024\n\nC\n']","['2023\nC06296\n', 'CP\nCCC\n23C\n', 'P\n\n2024\n\nC\n']",modelv1.0__2026-05-19 22:32:36
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\1-18-24__subdir__2024_01_18__subdir__IMG_0047.JPG,"[4000, 6000]",37.27450980392157,"['2023\nDCR06285\n', 'SanteeCoastalReserve\nCharlestonCo Sc\n', 'Photographedby\nAFletcher\n2024\n']","['2023\nDCR06285\n', 'CR\nCC C\n', '2024\n']","['2023\nPC06285\n', 'C\nCC C\n', 'P\n2024\n']",modelv1.0__2026-05-19 22:32:36
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\1-23-24__subdir__2024_01_23__subdir__IMG_0057.JPG,"[4000, 6000]",37.24,"['2023\nDCR06550\n', 'Photographedby\nAFletcher\n2024\n', 'SanteeCoastalReserve\nCharlestonCo sc\n\nAFlegcher\nCypress\n\n']","['2023\nDCR06550\n', '2024\n', 'CR\nCC C\n\nC\n\n']","['2023\nC06550\n', 'P\n2024\n', 'C\nCC C\n\nC\n\n']",modelv1.0__2026-05-19 22:32:36
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\1-24-24__subdir__2024_01_24__subdir__IMG_0001.JPG,"[4000, 6000]",37.52,"['Photographedby\nAFletcher\n2024\n', '2023\nDCR06566\n', 'SanteeCoastalReserve\nCharlestonCoSC\nAFietcher\n\nYOoCy2G22Mazyck\n']","['2024\n', '2023\nDCR06566\n', 'CR\nCC0C\n4C222\n']","['P\n2024\n', '2023\nPC06566\n', 'C\nCC0C\n4C222\n']",modelv1.0__2026-05-19 22:32:36
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\1-25-24__subdir__2024_01_25__subdir__IMG_0017.JPG,"[4000, 6000]",37.2,"['Photographedby\nAFletcher\n2024\n', '2023\nDCR02763\n', 'noearmites\nEFL2024\n', 'SanteeCoastalReserve\nCharlestonCoSC\nEFLoPresti\n18Aug2023Incidental\n']","['2024\n', '2023\nDCR02763\n', '2024\n', 'CR\nCCC\nR\n182023\n']","['P\n2024\n', '2023\nC02763\n', 'P2024\n', 'C\nCCC\nP\n182023\n']",modelv1.0__2026-05-19 22:32:36
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\1-29-24__subdir__2024_01_29__subdir__IMG_0001.JPG,"[4000, 6000]",37.568627450980394,"['2023\nDCR02534\n', 'Photographedby\nAFletcher\n2024\n', 'Leftearmites\n\nEFL2024\n', 'SanteeCoastalReserve\nCharlestenCoSC\nEFLoPresti\n4Mav2023LiveOakTrap\n']","['2023\nDCR02534\n', '2024\n', '2024\n', 'CR\nCC0C\n420230\n']","['2023\nC02534\n', 'P\n2024\n', '2024\n', 'C\nCC0C\nP\n420230\n']",modelv1.0__2026-05-19 22:32:36
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\1-29-24__subdir__2024_01_29__subdir__IMG_0009.JPG,"[4000, 6000]",37.568627450980394,"['noearmites\nEFL2024\n', 'Photographedby\nAFletcher\n\n2024\n', '2023\nDCR02549\n', 'SanteeCoastalReserve\nCharlestonCoSC\nEFLoPresti\n\n18Aug2023MazyckTrap\n']","['2024\n', '2024\n', '2023\nDCR02549\n', 'CR\nCC0C\n182023\n']","['2024\n', 'P\n\n2024\n', '2023\nC02549\n', 'C\nCC0C\nP\n\n182023\n']",modelv1.0__2026-05-19 22:32:36
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\1-29-24__subdir__2024_01_29__subdir__IMG_0068.JPG,"[4000, 6000]",37.44,"['', '2023\nDCR06580\n', 'Santee CoastalReserve\nharleston CoSC\nO Live Oak\n']","['', '2023\nDCR06580\n', 'CR\nCC\n']","['', '2023\nPC06580\n', 'C\nCC\n']",modelv1.0__2026-05-19 22:32:36
