file_name,image_size,inference_info
C:/R_projects/mothz/beetle_image_stack\frame_0000.jpg,"[1080, 1920]",modelv1.0__2025-04-08 07:16:25
C:/R_projects/mothz/beetle_image_stack\frame_0001.jpg,"[1080, 1920]",modelv1.0__2025-04-08 07:16:25
C:/R_projects/mothz/beetle_image_stack\frame_0002.jpg,"[1080, 1920]",modelv1.0__2025-04-08 07:16:25
C:/R_projects/mothz/beetle_image_stack\frame_0003.jpg,"[1080, 1920]",modelv1.0__2025-04-08 07:16:25
C:/R_projects/mothz/beetle_image_stack\frame_0004.jpg,"[1080, 1920]",modelv1.0__2025-04-08 07:16:25
C:/R_projects/mothz/beetle_image_stack\frame_0005.jpg,"[1080, 1920]",modelv1.0__2025-04-08 07:16:25
C:/R_projects/mothz/beetle_image_stack\frame_0006.jpg,"[1080, 1920]",modelv1.0__2025-04-08 07:16:25
C:/R_projects/mothz/beetle_image_stack\frame_0007.jpg,"[1080, 1920]",modelv1.0__2025-04-08 07:16:25
C:/R_projects/mothz/beetle_image_stack\frame_0008.jpg,"[1080, 1920]",modelv1.0__2025-04-08 07:16:25
C:/R_projects/mothz/beetle_image_stack\frame_0009.jpg,"[1080, 1920]",modelv1.0__2025-04-08 07:16:25
C:/R_projects/mothz/beetle_image_stack\frame_0010.jpg,"[1080, 1920]",modelv1.0__2025-04-08 07:16:25
C:/R_projects/mothz/beetle_image_stack\frame_0011.jpg,"[1080, 1920]",modelv1.0__2025-04-08 07:16:25
C:/R_projects/mothz/beetle_image_stack\frame_0012.jpg,"[1080, 1920]",modelv1.0__2025-04-08 07:16:25
C:/R_projects/mothz/beetle_image_stack\frame_0013.jpg,"[1080, 1920]",modelv1.0__2025-04-08 07:16:25
C:/R_projects/mothz/beetle_image_stack\frame_0014.jpg,"[1080, 1920]",modelv1.0__2025-04-08 07:16:25
C:/R_projects/mothz/beetle_image_stack\frame_0015.jpg,"[1080, 1920]",modelv1.0__2025-04-08 07:16:25
C:/R_projects/mothz/beetle_image_stack\frame_0016.jpg,"[1080, 1920]",modelv1.0__2025-04-08 07:16:25
C:/R_projects/mothz/beetle_image_stack\frame_0017.jpg,"[1080, 1920]",modelv1.0__2025-04-08 07:16:25
C:/R_projects/mothz/beetle_image_stack\frame_0018.jpg,"[1080, 1920]",modelv1.0__2025-04-08 07:16:25
C:/R_projects/mothz/beetle_image_stack\frame_0019.jpg,"[1080, 1920]",modelv1.0__2025-04-08 07:16:25
C:/R_projects/mothz/beetle_image_stack\frame_0020.jpg,"[1080, 1920]",modelv1.0__2025-04-08 07:16:25
C:/R_projects/mothz/beetle_image_stack\frame_0021.jpg,"[1080, 1920]",modelv1.0__2025-04-08 07:16:25
