index,eqn
R,R(.)
G,G(.)
B,B(.)
NR,R(.)/(R(.)+G(.)+B(.))
NG,G(.)/(R(.)+G(.)+B(.))
NB,B(.)/(R(.)+G(.)+B(.))
GB,G(.)/B(.)
RB,R(.)/B(.)
GR,G(.)/R(.)
BI,sqrt((R(.)^2+G(.)^2+B(.)^2)/3)
BIM,sqrt((R(.)*2+G(.)*2+B(.)*2)/3)
SCI,(R(.)-G(.))/(R(.)+G(.))
GLI,(2*G(.)-R(.)-B(.))/(2*G(.)+R(.)+B(.))
HI,(2*R(.)-G(.)-B(.))/(G(.)-B(.))
NGRDI,(G(.)-R(.))/(G(.)+R(.))
NDGBI,(G(.)-B(.))/(G(.)+B(.))
NDRBI,(R(.)-B(.))/(R(.)+B(.))
I,R(.)+G(.)+B(.)
S,((R(.)+G(.)+B(.))-3*B(.))/(R(.)+G(.)+B(.))
VARI,(G(.)-R(.))/(G(.)+R(.)-B(.))
HUE,atan(2*(B(.)-G(.)-R(.))/30.5*(G(.)-R(.)))
HUE2,atan(2*(R(.)-G(.)-R(.))/30.5*(G(.)-B(.)))
BGI,B(.)/G(.)
L,R(.)+G(.)+B(.)/3
GRAY,0.299*R(.) + 0.587*G(.) + 0.114*B(.)
GLAI,(25*(G(.)-R(.))/(G(.)+R(.)-B(.))+1.25)
CI,(R(.)-B(.))/R(.)
SHP,2*(R(.)-G(.)-B(.))/(G(.)-B(.))
RI,R(.)**2/(B(.)*G(.)**3)
G_B,G(.)-B(.)
G_R,G(.)-R(.)
R_G,R(.)-G(.)
R_B,R(.)-B(.)
B_R,B(.)-R(.)
B_G,B(.)-G(.)
Lx,(0.2126 * R(.) + 0.7152 * G(.) + 0.0722 * B(.))
a,0.55*( (R(.) - (0.2126 * R(.) + 0.7152 * G(.) + 0.0722 * B(.))) / (1.0 - 0.2126))
bx,0.55*( (B(.) - (0.2126 * R(.) + 0.7152 * G(.) + 0.0722 * B(.))) / (1.0 - 0.0722))
Lx_a,((0.2126 * R(.) + 0.7152 * G(.) + 0.0722 * B(.))) - (0.55*( (R(.) - (0.2126 * R(.) + 0.7152 * G(.) + 0.0722 * B(.))) / (1.0 - 0.2126)))
Lx_b,((0.2126 * R(.) + 0.7152 * G(.) + 0.0722 * B(.))) - (0.55*( (B(.) - (0.2126 * R(.) + 0.7152 * G(.) + 0.0722 * B(.))) / (1.0 - 0.0722)))
bx_a,(0.55*( (B(.) - (0.2126 * R(.) + 0.7152 * G(.) + 0.0722 * B(.))) / (1.0 - 0.0722))) - (0.55*( (R(.) - (0.2126 * R(.) + 0.7152 * G(.) + 0.0722 * B(.))) / (1.0 - 0.2126)))
