_id,Damage,Hostplant Family,Hostplant Genus,Hostplant Species,Hostplant Subspecies/var,HOSTS ID,Insect Author,Insect Family,Insect Genus,Insect Species,Insect Subspecies,Lab Rearing,Location
9,on,Leguminosae (M),Prosopis,,,9,Walsingham,Acrolophidae,Acrolophus,nr. cressoni,,,Mexico
2,,Elaeocarpaceae,Elaeocarpus,,,2,Turner,Roeslerstammiidae,Amphithera,heteroleuca,,,Australia
6,,Rosaceae,Fragaria,,,6,Clemens,Acrolophidae,Acrolophus,arcanella,,,USA
15,on pastures,Gramineae,,,,15,Clemens,Acrolophidae,Acrolophus,popeanella,,,Puerto Rico
1,in and on leaves,Elaeocarpaceae,Elaeocarpus,,,1,,Roeslerstammiidae,Agriothera,,,,Japan
10,on roots,Gramineae,,,,10,Druce,Acrolophidae,Acrolophus,numidia,,,Brazil
3,in leaves,Rhamnaceae,Ceanothus,thyrsiflorus,,3,Davis,Acanthopteroctetidae,Acanthopteroctetes,unifascia,,,USA
14,in grass roots,Gramineae,,,,14,Clemens,Acrolophidae,Acrolophus,popeanella,,,Nearctic
23,on leaves/seeds,Oleaceae,Ligustrum,,,23,Scopoli,Adelidae,Adela,croesella,,,British Isles
4,,Compositae,Parthenium,hysterophorus,,4,,Acrolophidae,Acrolophus,,,,Mexico
20,on,Oleaceae,Ligustrum,,,20,Scopoli,Adelidae,Adela,croesella,,,Palaearctic
7,,Gramineae,Zea,,,7,Clemens,Acrolophidae,Acrolophus,arcanella,,,Nearctic
27,on leaves/seeds,Scrophulariaceae,Veronica,,,27,Denis & Schiff.,Adelidae,Adela,fibulella,,,British Isles
24,on catkins,Salicaceae,Salix,,,24,Denis & Schiff.,Adelidae,Adela,cuprella,,,British Isles
5,on roots,Gramineae,,,,5,,Acrolophidae,Acrolophus,,,,Brazil
32,,Rosaceae,Holodiscus,discolor,,32,Walsingham,Adelidae,Adela,septentrionella,,,USA
16,on roots,Leguminosae (P),Trifolium,pratense,,16,Clemens,Acrolophidae,Acrolophus,popeanella,,,Nearctic
28,on leaves/seeds,Scrophulariaceae,Veronica,chamaedrys,,28,Denis & Schiff.,Adelidae,Adela,fibulella,,,British Isles
25,on seed catkins,Salicaceae,Salix,caprea,,25,Denis & Schiff.,Adelidae,Adela,cuprella,,,Palaearctic
8,,Betulaceae,Betula,,,8,Grote,Acrolophidae,Acrolophus,morus,,,Nearctic
33,on,Guttiferae,Hypericum,,,33,Denis & Schiff.,Adelidae,Adela,violella,,,Palaearctic
18,,Gramineae,Saccharum,officinarum,,18,Busck,Acrolophidae,Acrolophus,sacchari,,,Guyana
30,on,Cruciferae,Cardamine,pratensis,,30,Scopoli,Adelidae,Adela,rufimitrella,,,Palaearctic
26,on,Scrophulariaceae,Veronica,chamaedrys,,26,Denis & Schiff.,Adelidae,Adela,fibulella,,,Palaearctic
11,on tortoise scats,Detritophagous,,,,11,Davis,Acrolophidae,Acrolophus,pholeter,,,USA
36,,Cornaceae,Cornus,,,36,Kearfott,Adelidae,Chalceopla,dietziella,,,Nearctic
22,on leaves/seeds,Elaeagnaceae,Hippophae,,,22,Scopoli,Adelidae,Adela,croesella,,,British Isles
42,on leaves/seeds,Dipsacaceae,Scabiosa,,,42,Hübner,Adelidae,Nemophora,cupriacella,,,British Isles
31,on leaves/seeds,Cruciferae,Cardamine,pratensis,,31,Scopoli,Adelidae,Adela,rufimitrella,,,British Isles
12,,Rosaceae,Fragaria,,,12,Clemens,Acrolophidae,Acrolophus,plumifrontella,,,USA
38,on,Dipsacaceae,Scabiosa,maritima,,38,Walsingham,Adelidae,Nemophora,algeriensis,,,Palaearctic
29,on,Fagaceae,Quercus,,,29,Linnaeus,Adelidae,Adela,reaumurella,,,Palaearctic
45,on,Guttiferae,Hypericum,,,45,Duponchel,Adelidae,Nemophora,dumeriliella,,,Palaearctic
34,on leaves/seeds,Guttiferae,Hypericum,perforatum,,34,Denis & Schiff.,Adelidae,Adela,violella,,,British Isles
13,,Gramineae,Zea,mays,,13,Clemens,Acrolophidae,Acrolophus,popeanella,,,Nearctic
39,,Hydrangeaceae,Hydrangea,paniculata,,39,Issiki,Adelidae,Nemophora,bifasciatella,,,Japan
41,on leaves/seeds,Dipsacaceae,Knautia,,,41,Hübner,Adelidae,Nemophora,cupriacella,,,British Isles
51,on leaves/seeds,Dipsacaceae,Succisa,,,51,Denis & Schiff.,Adelidae,Nemophora,minimella,,,British Isles
37,,Crassulaceae,Sedum,,,37,Busck,Adelidae,Chalceopla,sedella,,,Nearctic
17,on roots,Rubiaceae,Rhachicallis,rupestris,,17,Walsingham,Acrolophidae,Acrolophus,rupestris,,,Neotropical
49,on leaves/seeds,Dipsacaceae,Scabiosa,,,49,Poda,Adelidae,Nemophora,metallica,,,British Isles
44,on,Compositae,Hieracium,,,44,Duponchel,Adelidae,Nemophora,dumeriliella,,,Palaearctic
59,,Araucariaceae,Agathis,,,59,Dumbleton,Agathiphagidae,Agathiphaga,queenslandensis,,,Australia
40,on,Dipsacaceae,Dipsacus,fullonum,,40,Hübner,Adelidae,Nemophora,cupriacella,,,Palaearctic
19,on roots,Compositae,Parthenium,hysterophorus,,19,,Acrolophidae,Acrolophus,sp.,,,Mexico
