order,superfamily,family,genus,sp,species,tip_lab
Coleoptera,Tenebrionoidea,Tenebrionidae,Tribolium,castaneum,Tribolium castaneum,Coleoptera_Tenebrionidae_Tenebrioninae_Tribolium_castaneum_TCAST
Diptera,Culicoidea,Culicidae,Anopheles,gambiae,Anopheles gambiae,Diptera_Culicidae_Anophelinae_Anopheles_gambiae
Diptera,Ephydroidea,Drosophilidae,Drosophila,melanogaster,Drosophila melanogaster,Diptera_Drosophilidae_Drosophilinae_Drosophila_melanogaster
Diptera,Oestroidea,Tachinidae,Triarthria,setipennis,Triarthria setipennis,Diptera_Tachinidae_Tachininae_Triarthria_setipennis
Lepidoptera,Adeloidea,Adelidae,Nemophora,degeerella,Nemophora degeerella,Adeloidea_Adelidae_Adelinae_Nemophora_degeerella_INShauTABRAAPEI__93
Lepidoptera,Adeloidea,Prodoxidae,Tegeticula,yuccasella,Tegeticula yuccasella,Adeloidea_Prodoxidae_Tegeticula_yuccasella_Tyu4
Lepidoptera,Agathiphagoidea,Agathiphagidae,Agathiphaga,queenslandensis,Agathiphaga queenslandensis,Agathiphagoidea_Agathiphagidae_Agathiphaga_queenslandensis_Aga3
Lepidoptera,Alucitoidea,Alucitidae,Alucita,desmodactyla,Alucita desmodactyla,Alucitoidea_Alucitidae_Alucita_desmodactyla_ANIsrmTAAORAAPEI__215
Lepidoptera,Andesianoidea,Andesianidae,Andesiana,lamellata,Andesiana lamellata,Andesianoidea_Andesianidae_Andesiana_lamellata_RINSinlTEARAAPEI__62
Lepidoptera,Bombycoidea,Apatelodidae,Apatelodes,pithala,Apatelodes pithala,Bombycoidea_Bombycidae_Apatelodes_pithala_FG120036B
Lepidoptera,Bombycoidea,Bombycidae,Bombyx,mori,Bombyx mori,Bombycoidea_Bombycidae_Bombyx_mori_BMORI
Lepidoptera,Bombycoidea,Bombycidae,Colla,micacea,Colla micacea,Bombycoidea_Bombycidae_Colla_sp_FG120013
Lepidoptera,Bombycoidea,Brahmaeidae,Brahmaea,hearseyi,Brahmaea hearseyi,Bombycoidea_Brahmaeidae_Brahmaea_hearseyi_RINSinlTDQRAAPEI__35
Lepidoptera,Bombycoidea,Endromidae,Mustilizans,dierli,Mustilizans dierli,Bombycoidea_Endromidae_Mustilizans_dierli_RINSinlTDURAAPEI__43
Lepidoptera,Bombycoidea,Eupterotidae,Eupterote,muluana,Eupterote muluana,Bombycoidea_Eupterotidae_Eupterotinae_Eupterote_muluana_SW13020T
Lepidoptera,Bombycoidea,Eupterotidae,Ganisa,similis,Ganisa similis,Bombycoidea_Eupterotidae_Eupterotinae_Ganisa_similis_RINSinlTDMRAAPEI__136
Lepidoptera,Bombycoidea,Saturniidae,Actias,luna,Actias luna,Bombycoidea_Saturniidae_Saturniinae_Actias_luna_acti2
Lepidoptera,Bombycoidea,Saturniidae,Attacus,atlas,Attacus atlas,Bombycoidea_Saturniidae_Saturniinae_Attacus_atlas_Attac
Lepidoptera,Bombycoidea,Saturniidae,Eacles,sp.,Eacles sp.,Bombycoidea_Saturniidae_Ceratocampinae_Eacles_sp_FG120096B
Lepidoptera,Bombycoidea,Saturniidae,Hemileuca,maia,Hemileuca maia,Bombycoidea_Sphingidae_Hemileucinae_Hemileuca_maia_BuckH
Lepidoptera,Bombycoidea,Saturniidae,Saturnia,pyri,Saturnia pyri,Bombycoidea_Saturniidae_Saturniinae_Saturnia_pyri_INShkeTACRAAPEI__87
Lepidoptera,Bombycoidea,Saturniidae,Therinia,lactucina,Therinia lactucina,Bombycoidea_Saturniidae_Oxyteninae_Therinia_lactucina_FG120016
Lepidoptera,Bombycoidea,Sphingidae,Adhemarius,daphne,Adhemarius daphne,Bombycoidea_Sphingidae_Smerinthinae_Adhemarius_daphne_FG120049B
Lepidoptera,Bombycoidea,Sphingidae,Ceratomia,undulosa,Ceratomia undulosa,Bombycoidea_Sphingidae_Sphinginae_Ceratomia_undulosa_cunda3
Lepidoptera,Bombycoidea,Sphingidae,Darapsa,myron,Darapsa myron,Bombycoidea_Sphingidae_Macroglossinae_Darapsa_myron_Dara
Lepidoptera,Bombycoidea,Sphingidae,Enyo,lugubris,Enyo lugubris,Bombycoidea_Sphingidae_Macroglossinae_Enyo_lugubris_elug1
Lepidoptera,Bombycoidea,Sphingidae,Hemaris,diffinis,Hemaris diffinis,Bombycoidea_Sphingidae_Macroglossinae_Hemaris_diffinis_HEMA2
Lepidoptera,Bombycoidea,Sphingidae,Hyles,euphorbiae,Hyles euphorbiae,Bombycoidea_Sphingidae_Macroglossinae_Hyles_euphorbiae_INSinlTAYRAAPEI__56
Lepidoptera,Bombycoidea,Sphingidae,Macroglossum,pyrrhosticta,Macroglossum pyrrhosticta,Bombycoidea_Sphingidae_Macroglossinae_Macroglossum_pyrrhosticta_MacrH
Lepidoptera,Bombycoidea,Sphingidae,Manduca,sexta,Manduca sexta,Bombycoidea_Sphingidae_Sphinginae_Manduca_sexta
Lepidoptera,Bombycoidea,Sphingidae,Parum,colligata,Parum colligata,Bombycoidea_Sphingidae_Smerinthinae_Parum_colligata_V005T
Lepidoptera,Bombycoidea,Sphingidae,Smerinthus,saliceti,Smerinthus saliceti,Bombycoidea_Sphingidae_Smerinthinae_Smerinthus_saliceti_AZ130010T
