P No.,MONA,Genus_Species,Author with Year,Common Name,Superfamily,Family,Subfamily,Tribe,Subtribe,Genus,Species,MPG URL,MPG Taxonomic Notes yes::Taxonomic Note Striped,MPG Taxonomic Notes yes::Synonymy striped
10001,0001,Epimartyria auricrinella,"Walsingham, 1898",Goldcap Moss-eater,Micropterigoidea,Micropterigidae,[Micropteriginae],,,Epimartyria,auricrinella,https://mothphotographersgroup.msstate.edu/species.php?hodges=1,,"Epimartyria auricrinella Walsingham, 1898"
10002,0001.1,Epimartyria bimaculella,"Davis & Landry, 2012",,Micropterigoidea,Micropterigidae,[Micropteriginae],,,Epimartyria,bimaculella,https://mothphotographersgroup.msstate.edu/species.php?hodges=1.1,,"Epimartyria bimaculella Davis & Landry, 2012"
10003,0002,Epimartyria pardella,"Walsingham, 1880",,Micropterigoidea,Micropterigidae,[Micropteriginae],,,Epimartyria,pardella,https://mothphotographersgroup.msstate.edu/species.php?hodges=2,,"Epimartyria pardella Walsingham, 1880"
70001,0003,Dyseriocrania griseocapitella,"(Walsingham, 1898)",Chinquapin Leaf-miner,Eriocranioidea,Eriocraniidae,[Eriocraniinae],,,Dyseriocrania,griseocapitella,https://mothphotographersgroup.msstate.edu/species.php?hodges=3,,"Eriocrania griseocapitella Walsingham, 1898
Dyseriocrania auricrinella of authors not Fracker, 1930"
70002,0004,Dyseriocrania auricyanea,"(Walsingham, 1882)",,Eriocranioidea,Eriocraniidae,[Eriocraniinae],,,Dyseriocrania,auricyanea,https://mothphotographersgroup.msstate.edu/species.php?hodges=4,,"Micropteryx auricyanea Walsingham, 1882
Eriocrania cyanosparsella Williams, 1908"
70003,0005,Eriocrania semipurpurella,"(Stephens, 1834)",Purplish Birch-miner,Eriocranioidea,Eriocraniidae,[Eriocraniinae],,,Eriocrania,semipurpurella,https://mothphotographersgroup.msstate.edu/species.php?hodges=5,,"Lampronia semipurpurella Stephens, 1834
Micropteryx amentella Zeller, 1850
Micropteryx inconspicuella Wood, 1890
Eriocrania pacifica Davis, 1978"
70004,0006,Eriocrania breviapex,"Davis, 1978",,Eriocranioidea,Eriocraniidae,[Eriocraniinae],,,Eriocrania,breviapex,https://mothphotographersgroup.msstate.edu/species.php?hodges=6,,"Eriocrania breviapex Davis, 1978"
70005,0007,Eriocraniella aurosparsella,"(Walsingham, 1880)",,Eriocranioidea,Eriocraniidae,[Eriocraniinae],,,Eriocraniella,aurosparsella,https://mothphotographersgroup.msstate.edu/species.php?hodges=7,,"Micropteryx aurosparsella Walsingham, 1880"
70006,0008,Eriocraniella xanthocara,"Davis, 1978",,Eriocranioidea,Eriocraniidae,[Eriocraniinae],,,Eriocraniella,xanthocara,https://mothphotographersgroup.msstate.edu/species.php?hodges=8,,"Eriocraniella xanthocara Davis, 1978"
70007,0009,Eriocraniella longifurcula,"Davis, 1978",,Eriocranioidea,Eriocraniidae,[Eriocraniinae],,,Eriocraniella,longifurcula,https://mothphotographersgroup.msstate.edu/species.php?hodges=9,,"Eriocraniella longifurcula Davis, 1978"
70008,0010,Eriocraniella platyptera,"Davis, 1978",,Eriocranioidea,Eriocraniidae,[Eriocraniinae],,,Eriocraniella,platyptera,https://mothphotographersgroup.msstate.edu/species.php?hodges=10,,"Eriocraniella platyptera Davis, 1978"
70009,0011,Eriocraniella variegata,"Davis, 1978",,Eriocranioidea,Eriocraniidae,[Eriocraniinae],,,Eriocraniella,variegata,https://mothphotographersgroup.msstate.edu/species.php?hodges=11,,"Eriocraniella variegata Davis, 1978"
70010,0012,Eriocraniella trigona,"Davis, 1978",,Eriocranioidea,Eriocraniidae,[Eriocraniinae],,,Eriocraniella,trigona,https://mothphotographersgroup.msstate.edu/species.php?hodges=12,,"Eriocraniella trigona Davis, 1978"
70011,0013,Eriocraniella falcata,"Davis, 1978",,Eriocranioidea,Eriocraniidae,[Eriocraniinae],,,Eriocraniella,falcata,https://mothphotographersgroup.msstate.edu/species.php?hodges=13,,"Eriocraniella falcata Davis, 1978"
70012,0013.1,Eriocraniella mediabulla,"Davis & Faeth, 1986",,Eriocranioidea,Eriocraniidae,[Eriocraniinae],,,Eriocraniella,mediabulla,https://mothphotographersgroup.msstate.edu/species.php?hodges=13.1,"Eriocraniella mediabulla Davis & Faeth, 1986, n. sp., Proc. Entom. Soc. Wash., v. 88, no. 1, p. 145-153.","Eriocraniella mediabulla Davis & Faeth, 1986"
70013,0014,Neocrania bifasciata,"Davis, 1978",,Eriocranioidea,Eriocraniidae,[Eriocraniinae],,,Neocrania,bifasciata,https://mothphotographersgroup.msstate.edu/species.php?hodges=14,,"Neocrania bifasciata Davis, 1978"
110001,0023,Gazoryctra hyperboreus,"(Möschler, 1862)",,Hepialoidea,Hepialidae,[Hepialinae],,,Gazoryctra,hyperboreus,https://mothphotographersgroup.msstate.edu/species.php?hodges=23,,"Epialus hyperboreus Möschler, 1862"
110002,0023.1,Gazoryctra sciophanes,"(Ferguson, 1979)",,Hepialoidea,Hepialidae,[Hepialinae],,,Gazoryctra,sciophanes,https://mothphotographersgroup.msstate.edu/species.php?hodges=23.1,,"Hepialus sciophanes Ferguson, 1979"
110003,0024,Gazoryctra confusus,"(Edwards, [1885] 1884)",,Hepialoidea,Hepialidae,[Hepialinae],,,Gazoryctra,confusus,https://mothphotographersgroup.msstate.edu/species.php?hodges=24,,"Hepialus confusus Edwards, [1885] 1884"
110004,0025,Gazoryctra roseicaput,"(Neumoegen & Dyar, 1893)",,Hepialoidea,Hepialidae,[Hepialinae],,,Gazoryctra,roseicaput,https://mothphotographersgroup.msstate.edu/species.php?hodges=25,,"Hepialus roseicaput Neumögen & Dyar, 1893
Hepialus demutatus Barnes & Benjamin, [1926] 1925
Hepialus mutatus Barnes & Benjamin, [1926] 1925"
110005,0026,Gazoryctra pulcher,"(Grote, [1865] 1864)",,Hepialoidea,Hepialidae,[Hepialinae],,,Gazoryctra,pulcher,https://mothphotographersgroup.msstate.edu/species.php?hodges=26,,"Hepialus pulcher Grote, [1865] 1864"
110006,0027,Gazoryctra mcglashani,"(Edwards, 1886)",,Hepialoidea,Hepialidae,[Hepialinae],,,Gazoryctra,mcglashani,https://mothphotographersgroup.msstate.edu/species.php?hodges=27,,"Hepialus mcglashani Edwards, 1886"
110007,0028,Gazoryctra mathewi,"(Edwards, 1874)",Matthew's Ghost Moth,Hepialoidea,Hepialidae,[Hepialinae],,,Gazoryctra,mathewi,https://mothphotographersgroup.msstate.edu/species.php?hodges=28,,"Epialus mathewi Edwards, 1874"
110008,0029,Gazoryctra novigannus,"(Barnes & Benjamin, [1926] 1925)",,Hepialoidea,Hepialidae,[Hepialinae],,,Gazoryctra,novigannus,https://mothphotographersgroup.msstate.edu/species.php?hodges=29,,"Hepialus novigannus Barnes & Benjamin, [1926] 1925
Hepialus mackiei Barnes & Benjamin, [1926] 1925"
