Specimen_number,pixels_in_5_cm
2024-DCR-6183,1848.01
2024-DCR-2173,1872.038
2024-DCR-6185,1848.022
2024-DCR-2172,1874.001
2024-DCR-5980,1842.027
2024-DCR-5982,1842.039
2024-DCR-5975,1840.027
2024-DCR-6210,1848.01
2024-DCR-6213,1848.039
2023-DCR-3263,1882.562
2024-DCR-6263,1848.027
2024-DCR-6027,1840.01
2024-DCR-6021,1472.017
2023-DCR-4427,1884.325
2024-DCR-6028,1841.017
2023-DCR-4426,1885.446
2024-DCR-6025,1841.017
2023-DCR-3070,1879.038
2024-DCR-5941,1840.017
2023-DCR-3557,1884.208
2023-DCR-3560,1882.129
2023-DCR-3559,1884.179
2023-DCR-3265,1884.491
2023-DCR-3272,1884.561
2023-DCR-3295,1882.447
2023-DCR-3271,1884.468
2023-DCR-3278,1883.491
2024-DCR-2550,1876.107
2024-DCR-2551,1874.107
2024-DCR-4560,1866.069
2023-DCR-3322,1885.344
