MONA,no_id,superfamily,family,subfamily,tribe,subtribe,genus,sp,species,aposematic,mimic,disruptive,complex
4751,FALSE,Pyraloidea,Crambidae,Acentropinae,Nymphulini,NA,Elophila,gyralis,Elophila gyralis,0,0,0,1
4748,FALSE,Pyraloidea,Crambidae,Acentropinae,Nymphulini,NA,Elophila,icciusalis,Elophila icciusalis,0,0,0,1
4765,FALSE,Pyraloidea,Crambidae,Acentropinae,Nymphulini,NA,Parapoynx,diminutalis,Parapoynx diminutalis,0,0,0,1
4763,FALSE,Pyraloidea,Crambidae,Acentropinae,Nymphulini,NA,Parapoynx,seminealis,Parapoynx seminealis,0,0,1,0
9090,FALSE,Noctuoidea,Noctuidae,Acontiinae,Acontiini,NA,Ponometia,candefacta,Ponometia candefacta,0,1,0,0
9083,FALSE,Noctuoidea,Noctuidae,Acontiinae,Acontiini,NA,Ponometia,parvula,Ponometia parvula,0,0,0,0
9085,FALSE,Noctuoidea,Noctuidae,Acontiinae,Acontiini,NA,Ponometia,semiflava,Ponometia semiflava,0,0,1,0
9127,FALSE,Noctuoidea,Noctuidae,Acontiinae,Acontiini,NA,Spragueia,leo,Spragueia leo,1,0,0,1
9126,FALSE,Noctuoidea,Noctuidae,Acontiinae,Acontiini,NA,Spragueia,onagrus,Spragueia onagrus,1,0,0,1
372,FALSE,Tineoidea,Tineidae,Acrolophinae,NA,NA,Acrolophus,plumifrontella,Acrolophus plumifrontella,0,1,0,0
9254,FALSE,Noctuoidea,Noctuidae,Acronictinae,NA,NA,Acronicta,afflicta,Acronicta afflicta,0,0,0,1
9200,FALSE,Noctuoidea,Noctuidae,Acronictinae,NA,NA,Acronicta,americana,Acronicta americana,0,0,0,1
9255,FALSE,Noctuoidea,Noctuidae,Acronictinae,NA,NA,Acronicta,brumosa,Acronicta brumosa,0,0,0,1
9242,FALSE,Noctuoidea,Noctuidae,Acronictinae,NA,NA,Acronicta,exilis,Acronicta exilis,0,0,0,1
9248,FALSE,Noctuoidea,Noctuidae,Acronictinae,NA,NA,Acronicta,hamamelis,Acronicta hamamelis,0,0,0,1
9229,FALSE,Noctuoidea,Noctuidae,Acronictinae,NA,NA,Acronicta,hasta,Acronicta hasta,0,0,0,1
9257,FALSE,Noctuoidea,Noctuidae,Acronictinae,NA,NA,Acronicta,impleta,Acronicta impleta,0,0,0,1
9261,FALSE,Noctuoidea,Noctuidae,Acronictinae,NA,NA,Acronicta,impressa,Acronicta impressa,0,0,0,1
9249,FALSE,Noctuoidea,Noctuidae,Acronictinae,NA,NA,Acronicta,increta,Acronicta increta,0,0,0,1
9280,FALSE,Noctuoidea,Noctuidae,Acronictinae,NA,NA,Acronicta,insularis,Acronicta insularis,0,0,0,0
9237,FALSE,Noctuoidea,Noctuidae,Acronictinae,NA,NA,Acronicta,interrupta,Acronicta interrupta,0,0,0,1
9227,FALSE,Noctuoidea,Noctuidae,Acronictinae,NA,NA,Acronicta,laetifica,Acronicta laetifica,0,0,0,1
9238,FALSE,Noctuoidea,Noctuidae,Acronictinae,NA,NA,Acronicta,lobeliae,Acronicta lobeliae,0,0,0,1
9264,FALSE,Noctuoidea,Noctuidae,Acronictinae,NA,NA,Acronicta,longa,Acronicta longa,0,0,0,1
9244,FALSE,Noctuoidea,Noctuidae,Acronictinae,NA,NA,Acronicta,modica,Acronicta modica,0,0,0,1
9236,FALSE,Noctuoidea,Noctuidae,Acronictinae,NA,NA,Acronicta,morula,Acronicta morula,0,0,0,1
9259,FALSE,Noctuoidea,Noctuidae,Acronictinae,NA,NA,Acronicta,noctivaga,Acronicta noctivaga,0,0,0,1
9272,FALSE,Noctuoidea,Noctuidae,Acronictinae,NA,NA,Acronicta,oblinita,Acronicta oblinita,0,0,0,1
9238.1,FALSE,Noctuoidea,Noctuidae,Acronictinae,NA,NA,Acronicta,perblanda,Acronicta perblanda,0,0,1,1
9251,FALSE,Noctuoidea,Noctuidae,Acronictinae,NA,NA,Acronicta,retardata,Acronicta retardata,0,0,0,1
9211,FALSE,Noctuoidea,Noctuidae,Acronictinae,NA,NA,Acronicta,tritona,Acronicta tritona,0,0,0,1
9225,FALSE,Noctuoidea,Noctuidae,Acronictinae,NA,NA,Acronicta,vinnula,Acronicta vinnula,0,0,0,1
9286,FALSE,Noctuoidea,Noctuidae,Acronictinae,NA,NA,Harrisimemna,trisignata,Harrisimemna trisignata,0,0,0,1
8104,FALSE,Noctuoidea,Noctuidae,Acronictinae,NA,NA,Polygrammate,cadburyi,Polygrammate cadburyi,0,0,0,1
9285,FALSE,Noctuoidea,Noctuidae,Acronictinae,NA,NA,Polygrammate,hebraeicum,Polygrammate hebraeicum,1,0,0,1
8102,FALSE,Noctuoidea,Nolidae,Afridinae,NA,NA,Afrida,ydatodes,Afrida ydatodes,0,0,1,1
9301,FALSE,Noctuoidea,Noctuidae,Agaristinae,NA,NA,Eudryas,grata,Eudryas grata,0,1,1,0
9299,FALSE,Noctuoidea,Noctuidae,Agaristinae,NA,NA,Eudryas,unio,Eudryas unio,0,1,0,0
9638,FALSE,Noctuoidea,Noctuidae,Amphipyrinae,Amphipyrini,NA,Amphipyra,pyramidoides,Amphipyra pyramidoides,0,0,1,1
10007,FALSE,Noctuoidea,Noctuidae,Amphipyrinae,Psaphidini,Feraliina,Feralia,major,Feralia major,0,0,0,1
10019,FALSE,Noctuoidea,Noctuidae,Amphipyrinae,Psaphidini,Psaphidina,Psaphida,resumens,Psaphida resumens,0,0,0,1
10014,FALSE,Noctuoidea,Noctuidae,Amphipyrinae,Psaphidini,Psaphidina,Psaphida,rolandi,Psaphida rolandi,0,0,0,1
10016,FALSE,Noctuoidea,Noctuidae,Amphipyrinae,Psaphidini,Psaphidina,Psaphida,styracis,Psaphida styracis,0,0,0,1
2234,FALSE,Gelechioidea,Gelechiidae,Anacampsinae,Anacampsini,NA,Anacampsis,coverdalella,Anacampsis coverdalella,0,0,1,0
1467,FALSE,Gelechioidea,Cosmopterigidae,Antequerinae,NA,NA,Euclemensia,bassettella,Euclemensia bassettella,1,0,1,0
7663,FALSE,Bombycoidea,Apatelodidae,Apatelodinae,NA,NA,Apatelodes,torrefacta,Apatelodes torrefacta,0,0,0,1
8196,FALSE,Noctuoidea,Erebidae,Arctiinae,Arctiini,Arctiina,Apantesis,parthenice,Apantesis parthenice,1,0,0,1
8169,FALSE,Noctuoidea,Erebidae,Arctiinae,Arctiini,Arctiina,Apantesis,phalerata,Apantesis phalerata,1,0,0,1
8197,FALSE,Noctuoidea,Erebidae,Arctiinae,Arctiini,Arctiina,Apantesis,virgo,Apantesis virgo,1,0,0,1
8170,FALSE,Noctuoidea,Erebidae,Arctiinae,Arctiini,Arctiina,Apantesis,vittata,Apantesis vittata,1,0,0,1
8267,FALSE,Noctuoidea,Erebidae,Arctiinae,Arctiini,Ctenuchina,Cisseps,fulvicollis,Cisseps fulvicollis,1,0,0,0
8061,FALSE,Noctuoidea,Erebidae,Arctiinae,Lithosiini,Cisthenina,Cisthene,kentuckiensis,Cisthene kentuckiensis,1,0,0,0
8072,FALSE,Noctuoidea,Erebidae,Arctiinae,Lithosiini,Cisthenina,Cisthene,packardii,Cisthene packardii,1,0,0,0
8067,FALSE,Noctuoidea,Erebidae,Arctiinae,Lithosiini,Cisthenina,Cisthene,plumbea,Cisthene plumbea,1,0,0,0
8071,FALSE,Noctuoidea,Erebidae,Arctiinae,Lithosiini,Cisthenina,Cisthene,subjecta,Cisthene subjecta,1,0,0,0
8098,FALSE,Noctuoidea,Erebidae,Arctiinae,Lithosiini,Cisthenina,Clemensia,albata,Clemensia albata,0,0,0,1
8098.1,FALSE,Noctuoidea,Erebidae,Arctiinae,Lithosiini,Cisthenina,Clemensia,ochreata,Clemensia ochreata,0,0,0,1
8045,FALSE,Noctuoidea,Erebidae,Arctiinae,Lithosiini,Lithosiina,Crambidia,lithosioides,Crambidia lithosioides,0,0,0,0
8045.1,FALSE,Noctuoidea,Erebidae,Arctiinae,Lithosiini,Lithosiina,Crambidia,pallida,Crambidia pallida,0,0,0,0
8230,FALSE,Noctuoidea,Erebidae,Arctiinae,Arctiini,Phaegopterina,Cycnia,tenera,Cycnia tenera,1,0,0,0
8266,FALSE,Noctuoidea,Erebidae,Arctiinae,Arctiini,Ctenuchina,Dahana,atripennis,Dahana atripennis,1,0,0,0
8131,FALSE,Noctuoidea,Erebidae,Arctiinae,Arctiini,Spilosomina,Estigmene,acrea,Estigmene acrea,1,0,0,1
8238,FALSE,Noctuoidea,Erebidae,Arctiinae,Arctiini,Phaegopterina,Euchaetes,egle,Euchaetes egle,1,0,0,0
8097,FALSE,Noctuoidea,Erebidae,Arctiinae,Lithosiini,Eudesmiina,Eudesmia,menea,Eudesmia menea,1,0,0,0
8203,FALSE,Noctuoidea,Erebidae,Arctiinae,Arctiini,Phaegopterina,Halysidota,tessellaris,Halysidota tessellaris,1,0,0,1
8107,FALSE,Noctuoidea,Erebidae,Arctiinae,Arctiini,Callimorphina,Haploa,clymene,Haploa clymene,1,0,0,0
8108,FALSE,Noctuoidea,Erebidae,Arctiinae,Arctiini,Callimorphina,Haploa,colona,Haploa colona,1,0,0,0
8146,FALSE,Noctuoidea,Erebidae,Arctiinae,Arctiini,Spilosomina,Hypercompe,scribonia,Hypercompe scribonia,1,0,0,1
8140,FALSE,Noctuoidea,Erebidae,Arctiinae,Arctiini,Spilosomina,Hyphantria,cunea,Hyphantria cunea,1,0,0,0
8090,FALSE,Noctuoidea,Erebidae,Arctiinae,Lithosiini,Cisthenina,Hypoprepia,fucosa,Hypoprepia fucosa,1,0,1,0
8217,FALSE,Noctuoidea,Erebidae,Arctiinae,Arctiini,Phaegopterina,Leucanopsis,longa,Leucanopsis longa,0,0,0,1
8101,FALSE,Noctuoidea,Erebidae,Arctiinae,Arctiini,Phaegopterina,Neoplynes,eudora,Neoplynes eudora,1,0,0,0
8099,FALSE,Noctuoidea,Erebidae,Arctiinae,Arctiini,Phaegopterina,Pagara,simplex,Pagara simplex,0,0,0,0
8255,FALSE,Noctuoidea,Erebidae,Arctiinae,Arctiini,Phaegopterina,Pygarctia,abdominalis,Pygarctia abdominalis,1,0,0,0
8129,FALSE,Noctuoidea,Erebidae,Arctiinae,Arctiini,Spilosomina,Pyrrharctia,isabella,Pyrrharctia isabella,1,0,0,0
8134,FALSE,Noctuoidea,Erebidae,Arctiinae,Arctiini,Spilosomina,Spilosoma,congrua,Spilosoma congrua,1,0,0,0
8136,FALSE,Noctuoidea,Erebidae,Arctiinae,Arctiini,Spilosomina,Spilosoma,dubia,Spilosoma dubia,1,0,0,1
8137,FALSE,Noctuoidea,Erebidae,Arctiinae,Arctiini,Spilosomina,Spilosoma,virginica,Spilosoma virginica,1,0,0,0
